utility_a,utility_b,n_samples,seed,a_team,bidder,decl_id,bid_value,team_a_pts,team_b_pts,margin,n_decisions_a,n_decisions_b
ev,p_make,10,750703500,0,2,2,30,18,24,-6,14,14
ev,p_make,10,2418241630,0,1,4,30,29,13,16,14,14
ev,p_make,10,2037634999,0,3,4,30,24,18,6,14,14
ev,p_make,10,3804512016,0,0,3,30,40,2,38,14,14
ev,p_make,10,1177082850,0,1,7,30,12,30,-18,14,14
ev,p_make,10,796476219,0,3,0,30,30,12,18,14,14
ev,p_make,10,2464014349,0,2,5,30,35,7,28,14,14
ev,p_make,10,2083407718,0,0,9,30,26,16,10,14,14
ev,p_make,10,3850284735,0,2,0,30,35,7,28,14,14
ev,p_make,10,1222855569,0,0,8,30,31,11,20,14,14
ev,p_make,10,842248938,0,3,0,30,41,1,40,14,14
ev,p_make,10,2509787068,0,1,3,30,30,12,18,14,14
ev,p_make,10,4276664085,0,0,9,30,24,18,6,14,14
ev,p_make,10,1649234919,0,0,9,30,31,11,20,14,14
ev,p_make,10,1268628288,0,0,8,30,12,30,-18,14,14
ev,p_make,10,888021657,0,3,7,30,12,30,-18,14,14
ev,p_make,10,408076139,0,2,2,30,30,12,18,14,14
ev,p_make,10,27469508,0,1,4,30,1,41,-40,14,14
ev,p_make,10,1695007638,0,2,6,30,41,1,40,14,14
ev,p_make,10,1314401007,0,1,8,30,13,29,-16,14,14
ev,p_make,10,834455489,0,0,8,30,42,0,42,14,14
ev,p_make,10,453848858,0,3,5,30,16,26,-10,14,14
ev,p_make,10,73242227,0,3,8,30,24,18,6,14,14
ev,p_make,10,1740780357,0,2,3,30,27,15,12,14,14
ev,p_make,10,3507657374,0,3,6,30,22,20,2,14,14
ev,p_make,10,880228208,0,1,4,30,40,2,38,14,14
ev,p_make,10,499621577,0,0,2,30,25,17,8,14,14
ev,p_make,10,119014946,0,2,2,30,19,23,-4,14,14
ev,p_make,10,3934036724,0,3,5,30,36,6,30,14,14
ev,p_make,10,3553430093,0,0,2,30,16,26,-10,14,14
ev,p_make,10,926000927,0,2,8,30,6,36,-30,14,14
ev,p_make,10,545394296,0,3,2,30,31,11,20,14,14
ev,p_make,10,2212932426,0,1,6,30,9,33,-24,14,14
ev,p_make,10,3979809443,0,2,5,30,17,25,-8,14,14
ev,p_make,10,3599202812,0,1,1,30,40,2,38,14,14
ev,p_make,10,971773646,0,2,8,30,11,31,-20,14,14
ev,p_make,10,591167015,0,0,7,30,14,28,-14,14,14
ev,p_make,10,111221497,0,1,6,30,23,19,4,14,14
ev,p_make,10,4025582162,0,1,7,30,6,36,-30,14,14
ev,p_make,10,1398152996,0,0,9,30,26,16,10,14,14
ev,p_make,10,1017546365,0,0,9,30,42,0,42,14,14
ev,p_make,10,2784423382,0,2,3,30,25,17,8,14,14
ev,p_make,10,156994216,0,3,2,30,11,31,-20,14,14
ev,p_make,10,4071354881,0,2,7,30,7,35,-28,14,14
ev,p_make,10,1443925715,0,0,6,30,36,6,30,14,14
ev,p_make,10,3210802732,0,3,9,30,42,0,42,14,14
ev,p_make,10,583373566,0,1,3,30,11,31,-20,14,14
ev,p_make,10,202766935,0,3,2,30,9,33,-24,14,14
ev,p_make,10,4117127600,0,0,7,30,14,28,-14,14,14
ev,p_make,10,3637182082,0,1,0,30,12,30,-18,14,14
ev,p_make,10,3256575451,0,2,2,30,30,12,18,14,14
ev,p_make,10,629146285,0,2,4,30,42,0,42,14,14
ev,p_make,10,248539654,0,0,6,30,20,22,-2,14,14
ev,p_make,10,4162900319,0,2,8,30,31,11,20,14,14
ev,p_make,10,3682954801,0,1,9,30,35,7,28,14,14
ev,p_make,10,3302348170,0,1,2,30,26,16,10,14,14
ev,p_make,10,674919004,0,1,8,30,27,15,12,14,14
ev,p_make,10,294312373,0,2,5,30,38,4,34,14,14
ev,p_make,10,4109334151,0,2,8,30,22,20,2,14,14
ev,p_make,10,3728727520,0,2,4,30,41,1,40,14,14
ev,p_make,10,3348120889,0,1,6,30,31,11,20,14,14
ev,p_make,10,720691723,0,1,6,30,42,0,42,14,14
ev,p_make,10,2487568740,0,1,6,30,36,6,30,14,14
ev,p_make,10,4155106870,0,3,6,30,29,13,16,14,14
ev,p_make,10,3774500239,0,1,7,30,7,35,-28,14,14
ev,p_make,10,1147071073,0,0,2,30,24,18,6,14,14
ev,p_make,10,2913948090,0,3,8,30,34,8,26,14,14
ev,p_make,10,2533341459,0,1,3,30,42,0,42,14,14
ev,p_make,10,4200879589,0,0,5,30,24,18,6,14,14
ev,p_make,10,3820272958,0,2,5,30,41,1,40,14,14
ev,p_make,10,3340327440,0,2,8,30,31,11,20,14,14
ev,p_make,10,2959720809,0,1,2,30,42,0,42,14,14
ev,p_make,10,2579114178,0,2,2,30,25,17,8,14,14
ev,p_make,10,4246652308,0,1,4,30,21,21,0,14,14
ev,p_make,10,1718562029,0,2,5,30,20,22,-2,14,14
ev,p_make,10,3386100159,0,1,0,30,17,25,-8,14,14
ev,p_make,10,3005493528,0,0,5,30,26,16,10,14,14
ev,p_make,10,378064362,0,2,0,30,24,18,6,14,14
ev,p_make,10,4292425027,0,1,0,30,0,42,-42,14,14
ev,p_make,10,1764334748,0,1,8,30,24,18,6,14,14
ev,p_make,10,3431872878,0,3,8,30,40,2,38,14,14
ev,p_make,10,3051266247,0,3,2,30,6,36,-30,14,14
ev,p_make,10,423837081,0,3,9,30,23,19,4,14,14
ev,p_make,10,2190714098,0,3,2,30,29,13,16,14,14
ev,p_make,10,3858252228,0,3,2,30,28,14,14,14,14
ev,p_make,10,3477645597,0,0,8,30,17,25,-8,14,14
ev,p_make,10,3097038966,0,2,7,30,35,7,28,14,14
ev,p_make,10,2617093448,0,3,6,30,30,12,18,14,14
ev,p_make,10,2236486817,0,3,5,30,23,19,4,14,14
ev,p_make,10,3904024947,0,1,6,30,0,42,-42,14,14
ev,p_make,10,3523418316,0,2,1,30,18,24,-6,14,14
ev,p_make,10,3043472798,0,0,2,30,42,0,42,14,14
ev,p_make,10,2662866167,0,1,4,30,36,6,30,14,14
ev,p_make,10,2282259536,0,0,0,30,24,18,6,14,14
ev,p_make,10,3949797666,0,3,2,30,19,23,-4,14,14
ev,p_make,10,1421707387,0,0,6,30,28,14,14,14,14
ev,p_make,10,3089245517,0,0,9,30,19,23,-4,14,14
ev,p_make,10,2708638886,0,3,2,30,25,17,8,14,14
ev,p_make,10,2328032255,0,2,3,30,18,24,-6,14,14
ev,p_make,10,1848086737,0,2,5,30,34,8,26,14,14
ev,p_make,10,1467480106,0,2,2,30,9,33,-24,14,14
ev,p_make,10,3135018236,0,3,8,30,30,12,18,14,14
ev,p_make,10,2754411605,0,2,1,30,22,20,2,14,14
ev,p_make,10,126982439,0,0,9,30,41,1,40,14,14
ev,p_make,10,1893859456,0,1,2,30,35,7,28,14,14
ev,p_make,10,1513252825,0,3,7,30,13,29,-16,14,14
ev,p_make,10,3180790955,0,1,7,30,11,31,-20,14,14
ev,p_make,10,2800184324,0,2,1,30,29,13,16,14,14
ev,p_make,10,2320238806,0,2,6,30,42,0,42,14,14
ev,p_make,10,1939632175,0,1,5,30,42,0,42,14,14
ev,p_make,10,3607170305,0,2,9,30,24,18,6,14,14
ev,p_make,10,3226563674,0,1,1,30,17,25,-8,14,14
ev,p_make,10,698473395,0,0,9,30,41,1,40,14,14
ev,p_make,10,2366011525,0,1,8,30,20,22,-2,14,14
ev,p_make,10,1985404894,0,3,2,30,22,20,2,14,14
ev,p_make,10,3652943024,0,1,7,30,6,36,-30,14,14
ev,p_make,10,1124852745,0,0,8,30,14,28,-14,14,14
ev,p_make,10,744246114,0,3,8,30,2,40,-38,14,14
ev,p_make,10,2411784244,0,0,1,30,12,30,-18,14,14
ev,p_make,10,2031177613,0,0,4,30,29,13,16,14,14
ev,p_make,10,1551232095,0,1,9,30,41,1,40,14,14
ev,p_make,10,1170625464,0,2,6,30,30,12,18,14,14
ev,p_make,10,2838163594,0,3,9,30,17,25,-8,14,14
ev,p_make,10,2457556963,0,2,2,30,41,1,40,14,14
ev,p_make,10,2076950332,0,0,4,30,27,15,12,14,14
ev,p_make,10,1597004814,0,0,8,30,18,24,-6,14,14
ev,p_make,10,1216398183,0,1,8,30,7,35,-28,14,14
ev,p_make,10,2883936313,0,1,5,30,26,16,10,14,14
ev,p_make,10,2503329682,0,2,2,30,0,42,-42,14,14
ev,p_make,10,2023384164,0,0,5,30,24,18,6,14,14
ev,p_make,10,1642777533,0,2,5,30,19,23,-4,14,14
ev,p_make,10,1262170902,0,1,4,30,19,23,-4,14,14
ev,p_make,10,2929709032,0,1,6,30,7,35,-28,14,14
ev,p_make,10,401618753,0,1,6,30,27,15,12,14,14
ev,p_make,10,2069156883,0,3,4,30,41,1,40,14,14
ev,p_make,10,1688550252,0,1,5,30,24,18,6,14,14
ev,p_make,10,3356088382,0,3,9,30,41,1,40,14,14
ev,p_make,10,827998103,0,0,2,30,36,6,30,14,14
ev,p_make,10,447391472,0,2,2,30,13,29,-16,14,14
ev,p_make,10,2114929602,0,1,6,30,19,23,-4,14,14
ev,p_make,10,1734322971,0,2,5,30,18,24,-6,14,14
ev,p_make,10,1254377453,0,3,2,30,40,2,38,14,14
ev,p_make,10,873770822,0,2,4,30,31,11,20,14,14
ev,p_make,10,493164191,0,2,6,30,31,11,20,14,14
ev,p_make,10,2160702321,0,2,9,30,18,24,-6,14,14
ev,p_make,10,3927579338,0,1,6,30,42,0,42,14,14
ev,p_make,10,1300150172,0,2,9,30,41,1,40,14,14
ev,p_make,10,919543541,0,1,0,30,29,13,16,14,14
ev,p_make,10,2587081671,0,0,4,30,29,13,16,14,14
ev,p_make,10,2206475040,0,3,2,30,26,16,10,14,14
ev,p_make,10,3973352057,0,3,2,30,24,18,6,14,14
ev,p_make,10,1345922891,0,3,7,30,40,2,38,14,14
ev,p_make,10,965316260,0,1,7,30,27,15,12,14,14
ev,p_make,10,2632854390,0,2,7,30,22,20,2,14,14
ev,p_make,10,104764111,0,1,5,30,25,17,8,14,14
ev,p_make,10,1772302241,0,2,9,30,6,36,-30,14,14
ev,p_make,10,1391695610,0,3,1,30,34,8,26,14,14
ev,p_make,10,1011088979,0,3,0,30,0,42,-42,14,14
ev,p_make,10,531143461,0,1,2,30,24,18,6,14,14
ev,p_make,10,150536830,0,0,0,30,19,23,-4,14,14
ev,p_make,10,1818074960,0,1,0,30,18,24,-6,14,14
ev,p_make,10,1437468329,0,2,9,30,42,0,42,14,14
ev,p_make,10,3204345346,0,2,0,30,19,23,-4,14,14
ev,p_make,10,576916180,0,1,6,30,7,35,-28,14,14
ev,p_make,10,196309549,0,2,9,30,12,30,-18,14,14
ev,p_make,10,1863847679,0,2,2,30,40,2,38,14,14
ev,p_make,10,3630724696,0,3,8,30,23,19,4,14,14
ev,p_make,10,1003295530,0,0,1,30,25,17,8,14,14
ev,p_make,10,622688899,0,1,7,30,34,8,26,14,14
ev,p_make,10,242082268,0,0,0,30,18,24,-6,14,14
ev,p_make,10,4057104046,0,2,6,30,35,7,28,14,14
ev,p_make,10,3676497415,0,2,5,30,29,13,16,14,14
ev,p_make,10,1049068249,0,1,5,30,30,12,18,14,14
ev,p_make,10,668461618,0,1,1,30,42,0,42,14,14
ev,p_make,10,2335999748,0,2,7,30,24,18,6,14,14
ev,p_make,10,4102876765,0,3,8,30,4,38,-34,14,14
ev,p_make,10,3722270134,0,1,1,30,19,23,-4,14,14
ev,p_make,10,1094840968,0,1,4,30,31,11,20,14,14
ev,p_make,10,714234337,0,0,5,30,33,9,24,14,14
ev,p_make,10,234288819,0,0,2,30,8,34,-26,14,14
ev,p_make,10,4148649484,0,3,2,30,40,2,38,14,14
ev,p_make,10,1521220318,0,3,3,30,23,19,4,14,14
ev,p_make,10,1140613687,0,2,2,30,24,18,6,14,14
ev,p_make,10,2907490704,0,0,2,30,6,36,-30,14,14
ev,p_make,10,280061538,0,3,2,30,19,23,-4,14,14
ev,p_make,10,4194422203,0,1,2,30,17,25,-8,14,14
ev,p_make,10,1566993037,0,1,4,30,22,20,2,14,14
ev,p_make,10,3333870054,0,2,3,30,8,34,-26,14,14
ev,p_make,10,2953263423,0,3,6,30,19,23,-4,14,14
ev,p_make,10,325834257,0,1,0,30,22,20,2,14,14
ev,p_make,10,4240194922,0,3,5,30,1,41,-40,14,14
ev,p_make,10,3760249404,0,3,7,30,30,12,18,14,14
ev,p_make,10,3379642773,0,0,9,30,31,11,20,14,14
ev,p_make,10,752213607,0,3,5,30,17,25,-8,14,14
ev,p_make,10,371606976,0,0,7,30,2,40,-38,14,14
ev,p_make,10,4285967641,0,2,1,30,17,25,-8,14,14
ev,p_make,10,3806022123,0,3,9,30,12,30,-18,14,14
ev,p_make,10,3425415492,0,1,5,30,39,3,36,14,14
ev,p_make,10,797986326,0,0,5,30,36,6,30,14,14
ev,p_make,10,417379695,0,2,5,30,14,28,-14,14,14
ev,p_make,10,4232401473,0,0,5,30,25,17,8,14,14
ev,p_make,10,3851794842,0,2,8,30,18,24,-6,14,14
ev,p_make,10,3471188211,0,3,0,30,17,25,-8,14,14
ev,p_make,10,843759045,0,2,1,30,39,3,36,14,14
ev,p_make,10,2610636062,0,1,7,30,23,19,4,14,14
ev,p_make,10,4278174192,0,0,1,30,34,8,26,14,14
ev,p_make,10,3897567561,0,3,5,30,19,23,-4,14,14
ev,p_make,10,3516960930,0,3,8,30,24,18,6,14,14
ev,p_make,10,3037015412,0,0,7,30,13,29,-16,14,14
ev,p_make,10,2656408781,0,1,4,30,30,12,18,14,14
ev,p_make,10,28979615,0,1,3,30,3,39,-36,14,14
ev,p_make,10,3943340280,0,2,5,30,26,16,10,14,14
ev,p_make,10,3463394762,0,0,5,30,20,22,-2,14,14
ev,p_make,10,3082788131,0,1,3,30,1,41,-40,14,14
ev,p_make,10,2702181500,0,3,6,30,2,40,-38,14,14
ev,p_make,10,74752334,0,2,9,30,4,38,-34,14,14
ev,p_make,10,1841629351,0,1,6,30,6,36,-30,14,14
ev,p_make,10,3509167481,0,1,7,30,30,12,18,14,14
ev,p_make,10,3128560850,0,3,9,30,1,41,-40,14,14
ev,p_make,10,501131684,0,0,5,30,36,6,30,14,14
ev,p_make,10,120525053,0,0,1,30,14,28,-14,14,14
ev,p_make,10,1887402070,0,1,9,30,9,33,-24,14,14
ev,p_make,10,3554940200,0,3,1,30,0,42,-42,14,14
ev,p_make,10,3174333569,0,3,2,30,0,42,-42,14,14
ev,p_make,10,546904403,0,3,8,30,18,24,-6,14,14
ev,p_make,10,2313781420,0,2,0,30,16,26,-10,14,14
ev,p_make,10,3981319550,0,3,1,30,11,31,-20,14,14
ev,p_make,10,3600712919,0,0,7,30,7,35,-28,14,14
ev,p_make,10,3220106288,0,2,7,30,25,17,8,14,14
ev,p_make,10,2740160770,0,1,8,30,30,12,18,14,14
ev,p_make,10,2359554139,0,3,9,30,28,14,14,14,14
ev,p_make,10,4027092269,0,1,4,30,35,7,28,14,14
ev,p_make,10,3646485638,0,0,3,30,40,2,38,14,14
ev,p_make,10,1118395359,0,1,3,30,35,7,28,14,14
ev,p_make,10,2785933489,0,3,3,30,30,12,18,14,14
ev,p_make,10,2405326858,0,1,6,30,26,16,10,14,14
ev,p_make,10,4072864988,0,2,0,30,41,1,40,14,14
ev,p_make,10,1544774709,0,0,6,30,27,15,12,14,14
ev,p_make,10,3212312839,0,2,7,30,29,13,16,14,14
ev,p_make,10,2831706208,0,0,1,30,13,29,-16,14,14
ev,p_make,10,2451099577,0,3,8,30,0,42,-42,14,14
ev,p_make,10,1971154059,0,0,3,30,35,7,28,14,14
ev,p_make,10,1590547428,0,1,4,30,42,0,42,14,14
ev,p_make,10,3258085558,0,3,9,30,34,8,26,14,14
ev,p_make,10,2877478927,0,1,0,30,34,8,26,14,14
ev,p_make,10,250049761,0,1,3,30,23,19,4,14,14
ev,p_make,10,2016926778,0,1,3,30,25,17,8,14,14
ev,p_make,10,1636320147,0,1,2,30,13,29,-16,14,14
ev,p_make,10,3303858277,0,0,8,30,8,34,-26,14,14
ev,p_make,10,2923251646,0,2,1,30,17,25,-8,14,14
ev,p_make,10,2443306128,0,1,7,30,30,12,18,14,14
ev,p_make,10,2062699497,0,0,5,30,29,13,16,14,14
ev,p_make,10,1682092866,0,3,5,30,42,0,42,14,14
ev,p_make,10,3349630996,0,3,8,30,24,18,6,14,14
ev,p_make,10,821540717,0,1,4,30,31,11,20,14,14
