game_idx,a_team,n_hands,marks_a,marks_b,a_won
4,1,9,2,7,0
5,1,10,7,3,1
6,1,10,7,3,1
7,1,10,7,3,1
8,1,12,5,7,0
9,1,12,7,5,1
10,1,12,5,7,0
11,1,13,7,6,1
12,1,11,7,4,1
13,1,9,7,2,1
14,1,11,4,7,0
15,1,11,7,4,1
16,1,11,7,4,1
17,1,13,7,6,1
18,1,13,7,6,1
19,1,12,5,7,0
20,1,13,7,6,1
21,1,13,6,7,0
22,1,9,2,7,0
23,1,13,7,6,1
24,1,10,7,3,1
25,1,12,7,5,1
26,1,8,7,1,1
27,1,10,7,3,1
28,1,13,7,6,1
29,1,13,6,7,0
30,1,11,4,7,0
31,1,11,4,7,0
32,1,10,7,3,1
33,1,9,7,2,1
34,1,12,5,7,0
35,1,9,7,2,1
36,1,12,7,5,1
37,1,13,6,7,0
38,1,10,7,3,1
39,1,9,7,2,1
40,1,13,6,7,0
41,1,10,3,7,0
42,1,12,5,7,0
43,1,12,5,7,0
44,1,11,4,7,0
45,1,12,5,7,0
46,1,9,7,2,1
47,1,9,7,2,1
48,1,13,6,7,0
49,1,8,7,1,1
50,1,9,7,2,1
51,1,13,6,7,0
52,1,12,5,7,0
53,1,11,7,4,1
54,1,12,7,5,1
55,1,9,7,2,1
56,1,9,2,7,0
57,1,10,7,3,1
58,1,9,2,7,0
59,1,13,6,7,0
60,1,10,7,3,1
61,1,13,6,7,0
62,1,10,7,3,1
63,1,10,7,3,1
64,1,12,7,5,1
65,1,12,5,7,0
66,1,11,4,7,0
67,1,10,3,7,0
68,1,13,7,6,1
69,1,12,5,7,0
70,1,12,5,7,0
71,1,10,7,3,1
72,1,12,5,7,0
73,1,13,6,7,0
74,1,13,7,6,1
75,1,13,6,7,0
76,1,10,3,7,0
77,1,9,7,2,1
78,1,12,5,7,0
79,1,10,7,3,1
80,1,12,5,7,0
81,1,9,7,2,1
82,1,12,7,5,1
83,1,13,7,6,1
84,1,10,7,3,1
85,1,13,7,6,1
86,1,13,7,6,1
87,1,13,7,6,1
88,1,12,7,5,1
89,1,10,3,7,0
90,1,10,3,7,0
91,1,9,7,2,1
92,1,8,7,1,1
93,1,11,7,4,1
94,1,7,7,0,1
95,1,10,7,3,1
96,1,12,7,5,1
97,1,11,7,4,1
98,1,8,7,1,1
99,1,8,7,1,1
100,1,8,7,1,1
101,1,11,4,7,0
102,1,11,7,4,1
103,1,12,7,5,1
104,1,8,1,7,0
105,1,12,5,7,0
106,1,11,4,7,0
107,1,9,7,2,1
108,1,12,5,7,0
109,1,13,7,6,1
110,1,10,7,3,1
111,1,11,4,7,0
112,1,12,7,5,1
113,1,13,6,7,0
114,1,11,7,4,1
115,1,11,7,4,1
116,1,10,3,7,0
117,1,12,7,5,1
118,1,10,3,7,0
119,1,13,6,7,0
120,1,11,4,7,0
121,1,12,5,7,0
122,1,11,7,4,1
123,1,12,5,7,0
124,1,9,2,7,0
125,1,12,7,5,1
126,1,13,6,7,0
127,1,12,5,7,0
128,1,8,1,7,0
129,1,11,7,4,1
130,1,12,7,5,1
131,1,11,4,7,0
132,1,8,1,7,0
