group_type,group,action_n,actual_action_rate,top_mean_rate,top_threshold_rate,safest_tail_rate,scalar_omission_rate,hidden_large_impact_rate,mean,std,threshold_mass,lower_tail_mass,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,top_hidden_impact_score,max_hidden_impact_score,top_hidden_downside_score,max_hidden_downside_score,top_hidden_upside_score,max_hidden_upside_score
decl_name,twos,74351,0.3765921103952872,0.3765921103952872,0.3765921103952872,0.3765921103952872,0.18804051055130394,0.8575271348065258,-2.2605299258030196,16.35894593757193,0.4429583671822757,0.3020428312599851,3.979093450684238,0.05863334971283263,0.058283413836018906,16.79320548622394,85.0433349609375,10.84287523309316,62.97010803222656,15.309267994900784,80.3714599609375
distribution_shape,hidden_threat_large_impact,637239,0.32591068657128647,0.3257160971001461,0.3279915384965453,0.32972558176759426,0.19157804214745175,1.0,-3.3553121301716953,18.22198343315689,0.4250696554050949,0.32306367972184125,4.223322134494208,0.06220588361496351,0.06358249913601408,20.301011983818125,85.0433349609375,12.58378487118282,72.5683364868164,18.638865966308245,80.3714599609375
distribution_shape,high_std,445674,0.2993196820994718,0.29918505454659683,0.30001974537442166,0.29850294161203034,0.22009136723255115,0.999786839707948,-4.246203323830707,21.38705503224536,0.40641686310674874,0.35481852337895387,4.671288184776744,0.06741680256304884,0.0741035383552552,23.651866503767316,82.86575317382812,14.564342505993658,72.5683364868164,21.84817453316016,78.87616729736328
distribution_shape,high_variance_close_mean,119969,0.6160091356933874,0.6446081904491994,0.568096758329235,0.5196925872517066,0.5052721953171236,0.8499612399869967,-6.264236849051924,15.559345582653265,0.3971104590763449,0.3501017212638774,0.10054861060557181,0.003899983917488589,0.006635799527539346,18.095401250830133,81.21697998046875,11.402709593775128,72.5683364868164,16.42132295508856,77.07115173339844
distribution_shape,large_lower_tail,381302,0.2820625121294932,0.27977036574683584,0.283040739361451,0.2782649972987291,0.16786431752259365,0.9632784512014099,-13.56181610837114,19.45143688191231,0.27211328703143556,0.5276398708103828,4.832832981303008,0.07056629077110392,0.09425587554006645,22.648901421305194,85.0433349609375,13.564097559051225,64.47181701660156,20.70419668053382,80.3714599609375
distribution_shape,scalar_ev_lying_by_omission,137029,0.804172839325982,1.0,0.6091411307095578,0.5969393340095892,1.0,0.8909136022301849,0.9373897624915681,17.129272285677306,0.4896186748322794,0.2608741051634527,0.0,0.0035949912928873286,0.0032966512037294403,18.84887071530458,81.07505798339844,12.00452435316328,72.5683364868164,17.286185097210375,76.92922973632812
seat_role,bidder,229625,0.30484485574305936,0.30484485574305936,0.30484485574305936,0.30484485574305936,0.17163636363636364,0.8907087642896027,-3.572800410424316,17.726144307777393,0.21917396372873676,0.31912086562934394,4.430964967932926,0.05955108685497913,0.07096972691972685,19.2806414694599,81.21697998046875,11.559151542972142,66.6924057006836,17.81970249680418,77.07115173339844
seat_role,bidder_partner,171211,0.40885223496153866,0.40885223496153866,0.40885223496153866,0.40885223496153866,0.193404629375449,0.8355362681136141,0.12612681046250077,14.788319377778391,0.2580112868626849,0.2566323940887572,3.2639530647562336,0.05330005922574644,0.04530558643279928,16.552948071122128,85.0433349609375,10.245548229135506,66.37973022460938,15.225370035987229,80.3714599609375
seat_role,left_setter,174658,0.40078324497017026,0.40078324497017026,0.40078324497017026,0.40078324497017026,0.19044647253489677,0.8404481901773753,-2.681798691601147,15.629573355596275,0.68391269394522,0.2967351687007903,3.4181644870992316,0.051975020219934526,0.05017187099828826,17.31156795913338,75.27528381347656,11.261901785676846,60.074668884277344,15.754384904115746,71.13777923583984
seat_role,right_setter,172811,0.40506680708982645,0.40506680708982645,0.40506680708982645,0.40506680708982645,0.18078131600418954,0.826718206595645,-2.265144799246119,14.360178043189276,0.6899607758074144,0.29104946635619083,3.6054031737691647,0.05232922049748052,0.0504037776794098,16.095354925230847,76.98865509033203,10.108910093287385,72.5683364868164,14.713007456217907,69.35895538330078
