driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,6,sixes,bidder,right_setter,6-0,56,8.892614939383098,29.79563331604004,-7.40817135146686,0.0843639565365655,-0.1281607877722958,0.31016448767006805
downside,8,doubles-suit,left_setter,right_setter,6-3,13,8.891127421305729,22.742841720581055,-7.24064641732436,0.08451923269491929,-0.16105769460017866,0.37194391025641027
downside,9,no-trump,bidder,right_setter,1-0,13,8.886506025607769,21.290863037109375,-6.995307207107544,0.18666797417860764,-0.004903846205427096,0.21203640109890107
downside,8,doubles-suit,bidder,right_setter,4-1,79,8.885703630085233,23.446460723876953,-6.892517373531679,0.16309078966703597,-0.07245567744550636,0.28978094861362264
downside,9,no-trump,right_setter,bidder_partner,2-2,302,8.884875450702692,27.107160568237305,-6.96096342841521,0.12322086697334073,-0.13833487485936344,0.2825083077105011
downside,8,doubles-suit,bidder,right_setter,5-2,174,8.881869031780068,25.51372528076172,-7.283530521666867,0.10997827213970762,-0.09963151873253291,0.3134183942255065
downside,0,blanks,bidder_partner,bidder,6-1,243,8.88010378727697,24.569377899169922,-7.365821680414333,0.0987249949719798,-0.10533922740905986,0.3104219209288652
downside,6,sixes,right_setter,bidder,6-0,85,8.87584719657898,29.297636032104492,-7.228746358086081,0.10885149680132813,-0.1112541090039646,0.4111706582633054
downside,2,twos,bidder_partner,bidder,3-1,187,8.875286323501465,21.553585052490234,-7.3464778234614405,0.1017567684150545,-0.10224816267363687,0.3158188025210084
downside,1,ones,right_setter,bidder_partner,5-2,24,8.874170432488123,25.833871841430664,-7.369857609272003,0.07578971531863014,-0.14928310954322419,0.30109114583333335
downside,9,no-trump,bidder_partner,left_setter,5-4,223,8.87121736736041,37.6801643371582,-7.267352616573128,0.10645189028073546,-0.10684223579672988,0.3381179932735425
downside,8,doubles-suit,left_setter,bidder,4-2,105,8.868150348322732,27.25267791748047,-6.799995252064297,0.13392244419083,-0.14578614014954794,0.3008882369614512
downside,7,doubles,bidder,bidder_partner,4-0,218,8.863528175638356,27.100631713867188,-7.374485346702261,0.0942738808494183,-0.10926079766241698,0.29681959916994316
downside,1,ones,bidder_partner,bidder,4-0,195,8.862295687504304,27.364727020263672,-7.349290882012783,0.10053682335703155,-0.10152474941255954,0.3019830280830281
downside,1,ones,right_setter,bidder_partner,6-0,9,8.860048135121664,13.47746467590332,-7.265409628550212,0.1050952205227481,-0.10873725679185656,0.3622916666666666
downside,9,no-trump,bidder_partner,left_setter,5-3,129,8.859877707422243,37.71180725097656,-7.256768561148828,0.10645591027271219,-0.10760172983801151,0.3604549418604651
downside,7,doubles,bidder_partner,bidder,6-1,77,8.8568477305499,27.455482482910156,-7.313730564984408,0.10120063698843013,-0.10620268129489639,0.3351137523191096
downside,1,ones,right_setter,bidder,6-6,339,8.855286336226449,37.26483917236328,-7.020927316671276,0.12198897271877591,-0.12287717180224932,0.3381111550077257
downside,9,no-trump,bidder,bidder_partner,4-2,66,8.854225357373556,37.49111557006836,-7.809877579862421,0.053106599769583256,-0.10265635533230097,0.31442600108225094
downside,8,doubles-suit,left_setter,bidder,3-3,38,8.853836028199447,24.311901092529297,-6.787241327135186,0.12316654700981944,-0.16698584705591202,0.36840241228070186
downside,2,twos,bidder_partner,right_setter,6-4,154,8.851458828170578,29.398988723754883,-7.276749016402603,0.0947954774962348,-0.12457036035960879,0.3928325023191095
downside,6,sixes,left_setter,bidder_partner,6-1,151,8.845060283774572,38.636436462402344,-7.5303153596966474,0.08533959197410881,-0.09226980425466765,0.3779431370230212
downside,7,doubles,right_setter,bidder_partner,4-4,349,8.837807701105374,21.439634323120117,-7.093781825122997,0.11485521409248288,-0.11905590831208707,0.33932698014735974
downside,8,doubles-suit,bidder_partner,right_setter,6-2,118,8.836012157343202,30.024953842163086,-7.215027630329132,0.10146067547217263,-0.12127555238864368,0.400091580912026
downside,3,threes,bidder,right_setter,4-4,371,8.834728457535695,28.385404586791992,-7.3532334787826334,0.09401357327071722,-0.10826273205736527,0.29438723767809033
downside,3,threes,bidder,bidder_partner,5-5,82,8.834221223505532,25.77920913696289,-6.963490881570956,0.15013746335739042,-0.07387113858230139,0.32543641114982563
downside,5,fives,right_setter,bidder,5-3,432,8.831756296533126,33.981990814208984,-7.350128533111678,0.0980476308642311,-0.09988435182754916,0.4115774911816573
downside,8,doubles-suit,bidder_partner,bidder,5-0,178,8.829761100619027,32.90835952758789,-7.487836833750264,0.07326854021158305,-0.1211516127785605,0.28362200708935253
downside,9,no-trump,left_setter,right_setter,4-0,102,8.829454679115146,32.887630462646484,-7.628630589036381,0.07847724182476454,-0.08313326961269565,0.2939569035947714
downside,8,doubles-suit,right_setter,left_setter,3-2,194,8.822769004045073,44.619964599609375,-7.547519780925868,0.08521436936115202,-0.08421163005543124,0.2824562622729504
downside,9,no-trump,bidder_partner,right_setter,4-4,395,8.819313022758386,41.81129455566406,-7.155706981767582,0.12717085122749727,-0.07836586140771101,0.36995670584689544
downside,6,sixes,right_setter,left_setter,3-0,156,8.809994676174261,32.30152893066406,-7.122485037033375,0.10749204291436726,-0.12250080270071824,0.3080364583333333
downside,5,fives,bidder_partner,right_setter,6-4,215,8.806029840957287,35.496612548828125,-7.13452449842941,0.10513831135589456,-0.12399194193503082,0.4018777547065337
downside,8,doubles-suit,bidder,bidder_partner,6-3,17,8.801336653092328,27.520618438720703,-7.306449048659381,0.10383799146203433,-0.09130154769210254,0.3109387254901961
downside,9,no-trump,right_setter,bidder_partner,1-0,26,8.80089468222398,25.373241424560547,-7.231298666733962,0.08702372344962966,-0.13830444675225478,0.3008165064102564
