base_seed,decl_id,V_mean,V_std,V_spread,basin_0,basin_1,basin_2,all_same_basin,modal_basin,modal_basin_count,basin_spread
164,4,-20.666666666666668,5.2493385826745405,12.0,0,1,1,0,1,2,1
165,5,10.666666666666666,4.988876515698588,12.0,2,3,3,0,3,2,1
166,6,3.3333333333333335,4.109609335312651,10.0,2,2,3,0,2,2,1
167,7,26.666666666666668,9.568466729604882,22.0,4,3,4,0,4,2,1
168,8,-5.333333333333333,9.843215373488935,24.0,2,1,3,0,2,1,2
169,9,35.333333333333336,5.734883511361751,14.0,4,4,4,1,4,3,0
170,0,28.0,8.640987597877148,20.0,4,4,4,1,4,3,0
171,1,36.666666666666664,6.182412330330469,14.0,4,4,4,1,4,3,0
172,2,32.666666666666664,11.8133634311129,26.0,4,3,4,0,4,2,1
173,3,6.0,25.664502073226878,58.0,4,1,1,0,1,2,3
174,4,-24.0,9.93310961716756,22.0,0,1,1,0,1,2,1
175,5,26.666666666666668,0.9428090415820634,2.0,4,4,4,1,4,3,0
176,6,-12.0,21.228911104120876,46.0,0,0,3,0,0,2,3
177,7,10.0,27.27636339397171,66.0,3,4,0,0,3,1,4
178,8,16.666666666666668,17.98765008430939,44.0,3,1,4,0,3,1,3
179,9,-2.0,20.06655592438988,46.0,3,3,0,0,3,2,3
180,0,24.0,13.063945294843617,32.0,3,4,4,0,4,2,1
181,1,32.0,11.430952132988164,26.0,4,3,4,0,4,2,1
182,2,24.0,15.57776192739723,38.0,4,4,2,0,4,2,2
183,3,35.333333333333336,5.2493385826745405,12.0,4,4,4,1,4,3,0
184,4,23.333333333333332,2.494438257849294,6.0,4,4,4,1,4,3,0
185,5,6.0,23.15167380558045,54.0,1,2,4,0,1,1,3
186,6,11.333333333333334,19.48218559493661,46.0,2,1,4,0,2,1,3
187,7,-2.6666666666666665,13.59738536958076,32.0,3,1,1,0,1,2,2
188,8,-6.666666666666667,0.9428090415820634,2.0,1,1,1,1,1,3,0
189,9,34.0,11.313708498984761,24.0,4,4,3,0,4,2,1
190,0,24.0,8.640987597877148,20.0,4,4,3,0,4,2,1
191,1,26.666666666666668,21.684607956387456,46.0,2,4,4,0,4,2,2
192,2,31.333333333333332,4.988876515698588,12.0,4,4,4,1,4,3,0
193,3,12.0,12.328828005937952,30.0,4,2,3,0,4,1,2
194,4,9.333333333333334,14.727148022916348,36.0,1,3,4,0,1,1,3
