base_seed,decl_id,V_mean,V_std,V_spread,p_capture_3-2,p_capture_4-1,p_capture_5-0,p_capture_5-5,p_capture_6-4
26,6,1.3333333333333333,27.438820836342234,66.0,0.5158730158730159,0.09682539682539681,0.09682539682539681,0.3063492063492063,0.5158730158730159
27,7,4.0,21.228911104120876,46.0,0.17142857142857143,0.09047619047619049,0.09047619047619049,0.2761904761904762,0.09047619047619049
28,8,21.333333333333332,19.754043186705406,46.0,0.753968253968254,0.753968253968254,0.04920634920634921,0.753968253968254,0.04920634920634921
29,9,11.333333333333334,6.182412330330469,14.0,0.634920634920635,0.07301587301587302,0.07301587301587302,0.634920634920635,0.2523809523809524
30,0,28.666666666666668,17.46106780494506,38.0,0.5238095238095238,0.8412698412698413,0.8412698412698413,0.3,0.031746031746031744
31,1,-3.3333333333333335,33.6386021641143,82.0,0.4603174603174603,0.4809523809523809,0.2142857142857143,0.4603174603174603,0.10793650793650796
32,2,-7.333333333333333,28.58126814696802,70.0,0.11746031746031747,0.11746031746031747,0.2142857142857143,0.16666666666666669,0.4126984126984127
33,3,24.0,12.96148139681572,30.0,0.2761904761904762,0.7857142857142857,0.2619047619047619,0.3,0.04285714285714286
34,4,33.333333333333336,10.873004286866726,24.0,0.6007936507936508,0.30317460317460315,0.896825396825397,0.896825396825397,0.896825396825397
35,5,8.0,21.228911104120876,46.0,0.2142857142857143,0.4738095238095238,0.5952380952380952,0.3063492063492063,0.21904761904761905
36,6,-8.666666666666666,23.907228102721476,58.0,0.20952380952380953,0.1634920634920635,0.39682539682539686,0.1634920634920635,0.2761904761904762
37,7,-1.3333333333333333,4.714045207910317,10.0,0.4841269841269841,0.1031746031746032,0.4841269841269841,0.23809523809523808,0.23809523809523808
38,8,-20.666666666666668,19.48218559493661,46.0,0.25396825396825395,0.1492063492063492,0.1492063492063492,0.24761904761904763,0.24761904761904763
39,9,33.333333333333336,12.256517540566824,26.0,0.5738095238095238,0.02063492063492063,0.2714285714285714,0.896825396825397,0.3
40,0,-23.333333333333332,22.17105219775452,48.0,0.13095238095238096,0.16031746031746033,0.15555555555555556,0.1634920634920635,0.15555555555555556
41,1,-20.666666666666668,18.354533197248273,44.0,0.1634920634920635,0.1492063492063492,0.1492063492063492,0.24285714285714288,0.1492063492063492
42,2,19.333333333333332,18.785337071473826,46.0,0.5023809523809524,0.05396825396825398,0.05396825396825398,0.3,0.05396825396825398
