base_seed,decl_id,p0_count_points,n_counts_held,holds_3_2,holds_4_1,holds_5_0,holds_5_5,holds_6_4,V_opp0,V_opp1,V_opp2,V_mean,V_std,V_spread,V_min,V_max
79,9,5,1,True,False,False,False,False,18,6.0,8.0,10.666666666666666,5.2493385826745405,12,6,18
80,0,5,1,False,False,True,False,False,38,40.0,40.0,39.333333333333336,0.9428090415820634,2,38,40
81,1,15,2,True,False,False,True,False,-6,42.0,4.0,13.333333333333334,20.677416559027762,48,-6,42
82,2,5,1,False,True,False,False,False,42,40.0,18.0,33.333333333333336,10.873004286866726,24,18,42
83,3,5,1,False,True,False,False,False,-42,16.0,-18.0,-14.666666666666666,23.79542439676633,58,-42,16
84,4,20,2,False,False,False,True,True,24,18.0,24.0,22.0,2.8284271247461903,6,18,24
85,5,5,1,True,False,False,False,False,-6,16.0,-40.0,-10.0,23.03620339089466,56,-40,16
86,6,10,2,True,True,False,False,False,-40,4.0,38.0,0.6666666666666666,31.93048003954146,78,-40,38
87,7,5,1,False,False,True,False,False,6,-36.0,40.0,3.3333333333333335,31.084115271666047,76,-36,40
88,8,10,2,True,False,True,False,False,4,2.0,2.0,2.6666666666666665,0.9428090415820634,2,2,4
89,9,10,1,False,False,False,False,True,42,4.0,36.0,27.333333333333332,16.67999467092907,38,4,42
90,0,0,0,False,False,False,False,False,-16,-8.0,-38.0,-20.666666666666668,12.684198393626966,30,-38,-8
91,1,5,1,False,True,False,False,False,-4,26.0,40.0,20.666666666666668,18.354533197248273,44,-4,40
92,2,15,2,False,True,False,True,False,30,-38.0,-18.0,-8.666666666666666,28.5345794120436,68,-38,30
93,3,10,1,False,False,False,True,False,14,4.0,6.0,8.0,4.320493798938574,10,4,14
94,4,0,0,False,False,False,False,False,-16,42.0,-28.0,-0.6666666666666666,30.5650490302604,70,-28,42
95,5,0,0,False,False,False,False,False,-26,-40.0,36.0,-10.0,33.0252428706689,76,-40,36
96,6,10,1,False,False,False,True,False,42,20.0,42.0,34.666666666666664,10.370899457402697,22,20,42
97,7,15,2,False,False,True,True,False,38,38.0,40.0,38.666666666666664,0.9428090415820634,2,38,40
98,8,5,1,True,False,False,False,False,-16,18.0,20.0,7.333333333333333,16.519348924485154,36,-16,20
99,9,20,3,False,True,True,True,False,-4,4.0,28.0,9.333333333333334,13.59738536958076,32,-4,28
100,0,20,3,True,False,True,False,True,20,6.0,42.0,22.666666666666668,14.817407180595247,36,6,42
