base_seed,decl_id,trump_suit,V_mean,V_std,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,pip_0_count,pip_1_count,pip_2_count,pip_3_count,pip_4_count,pip_5_count,pip_6_count
93,3,3,8.0,4.320493798938574,4.0,14.0,3,1,2,1,3,2,10,1,46,0,2,2,0,2,3,3,1
94,4,4,-0.6666666666666666,30.5650490302604,-28.0,42.0,4,2,1,1,2,1,0,0,38,0,1,4,2,1,1,2,1
95,5,5,-10.0,33.0252428706689,-40.0,36.0,4,2,1,2,1,3,0,0,49,0,2,1,1,1,4,1,2
96,6,6,34.666666666666664,10.370899457402697,20.0,42.0,4,3,4,4,2,0,10,1,58,1,0,2,1,2,0,2,4
97,7,7,38.666666666666664,0.9428090415820634,38.0,40.0,3,4,0,1,3,0,15,2,44,0,1,3,1,1,0,3,1
98,8,8,7.333333333333333,16.519348924485154,-16.0,20.0,4,0,0,3,0,0,5,1,40,0,1,3,4,2,0,1,3
99,9,9,9.333333333333334,13.59738536958076,-4.0,28.0,3,2,0,0,3,2,20,3,36,0,3,2,0,2,2,3,0
100,0,0,22.666666666666668,14.817407180595247,6.0,42.0,4,0,4,2,2,0,20,3,39,0,4,1,1,2,2,2,2
101,1,1,18.0,16.97056274847714,-6.0,30.0,3,2,0,3,1,1,25,3,46,0,2,0,2,2,2,1,3
102,2,2,32.666666666666664,6.79869268479038,26.0,42.0,4,4,1,1,2,2,15,2,41,0,4,0,1,0,2,2,1
103,3,3,34.666666666666664,10.370899457402697,20.0,42.0,4,1,4,1,2,1,5,1,43,0,0,1,4,4,1,2,1
104,4,4,22.0,14.966629547095765,6.0,42.0,3,2,2,3,0,1,15,2,48,0,0,2,1,3,2,1,3
105,5,5,18.0,5.656854249492381,14.0,26.0,3,2,1,2,1,1,15,2,47,1,0,2,3,3,1,1,2
106,6,6,4.0,33.34666400106613,-42.0,36.0,3,2,2,2,3,1,20,2,53,0,1,0,2,1,3,3,2
107,7,7,36.666666666666664,4.988876515698588,30.0,42.0,2,3,0,1,2,1,10,1,41,0,2,2,2,1,1,2,1
108,8,8,29.333333333333332,9.843215373488935,18.0,42.0,3,2,0,3,2,0,0,0,53,0,1,1,0,3,1,3,3
109,9,9,24.666666666666668,24.51303508113365,-10.0,42.0,3,2,0,3,0,2,5,1,40,0,1,2,2,2,2,0,3
110,0,0,20.666666666666668,3.7712361663282534,18.0,26.0,3,3,2,1,0,1,0,0,33,0,2,2,3,2,1,0,1
111,1,1,26.666666666666668,21.684607956387456,-4.0,42.0,2,4,2,0,1,1,5,1,29,1,2,2,2,2,1,1,0
112,2,2,36.666666666666664,6.182412330330469,28.0,42.0,2,3,2,2,1,1,15,2,45,0,1,2,2,2,1,1,2
113,3,3,11.333333333333334,14.079141387961917,-4.0,30.0,3,1,1,2,1,1,0,0,37,0,3,2,2,1,1,2,2
114,4,4,24.666666666666668,15.69146972791976,4.0,42.0,3,2,2,3,0,1,10,1,41,0,2,1,1,2,2,1,3
115,5,5,34.0,11.313708498984761,18.0,42.0,4,2,4,2,3,1,10,1,53,1,0,2,1,2,1,4,2
116,6,6,12.666666666666666,21.24983660067897,-14.0,38.0,3,3,2,2,0,2,20,3,40,0,1,2,2,1,3,0,2
117,7,7,28.0,1.632993161855452,26.0,30.0,3,3,0,1,3,0,20,3,50,0,1,1,2,2,1,3,1
118,8,8,-26.0,19.79898987322333,-40.0,2.0,3,0,0,2,0,1,0,0,31,0,3,3,3,2,1,0,2
119,9,9,12.0,29.97776954122282,-30.0,38.0,4,1,0,0,3,3,10,2,38,0,3,3,0,0,4,3,0
120,0,0,41.333333333333336,0.9428090415820634,40.0,42.0,3,3,3,2,2,0,5,1,39,1,3,1,2,1,0,2,2
121,1,1,-0.6666666666666666,6.182412330330469,-6.0,8.0,4,0,2,2,1,0,10,2,33,0,3,2,4,2,0,1,2
122,2,2,14.666666666666666,23.79542439676633,-16.0,42.0,4,2,1,2,0,3,0,0,36,0,4,1,1,1,3,0,2
123,3,3,29.333333333333332,16.519348924485154,6.0,42.0,3,3,3,0,1,2,15,2,39,1,1,3,1,3,2,1,0
124,4,4,-29.333333333333332,16.519348924485154,-42.0,-6.0,4,2,1,1,3,0,10,1,45,0,1,2,2,1,1,4,1
125,5,5,36.0,4.320493798938574,30.0,40.0,3,2,3,2,3,1,10,1,46,1,2,2,2,0,1,3,2
126,6,6,0.6666666666666666,14.079141387961918,-18.0,16.0,3,2,0,0,1,2,5,1,28,0,3,2,2,2,2,1,0
127,7,7,-14.666666666666666,29.31817790306136,-42.0,26.0,3,1,0,2,1,3,5,1,41,0,1,2,3,1,3,1,2
128,8,8,-8.0,3.265986323710904,-12.0,-4.0,3,1,0,3,1,0,0,0,38,0,3,1,2,3,0,1,3
129,9,9,16.0,13.366625103842281,-2.0,30.0,3,2,0,2,0,2,5,1,36,0,2,1,2,3,2,0,2
130,0,0,29.333333333333332,16.519348924485154,6.0,42.0,3,2,2,0,3,0,5,1,36,0,2,2,1,3,1,3,0
131,1,1,2.0,5.887840577551898,-6.0,8.0,3,1,2,1,3,0,15,2,39,0,3,2,2,1,1,3,1
132,2,2,-6.666666666666667,34.42221504913489,-42.0,40.0,4,0,1,4,2,1,20,3,54,0,1,2,1,1,2,3,4
133,3,3,11.333333333333334,29.227080289043965,-28.0,42.0,3,2,2,3,0,2,10,1,51,0,0,2,1,2,3,1,3
134,4,4,42.0,0.0,42.0,42.0,5,3,5,1,0,4,15,2,40,1,1,2,1,1,5,0,1
135,5,5,4.666666666666667,16.110727964792762,-18.0,18.0,4,1,2,0,2,1,0,0,32,0,2,4,0,3,2,2,0
136,6,6,8.666666666666666,6.599663291074444,4.0,18.0,2,2,2,2,1,1,25,3,43,0,1,2,2,2,2,1,2
137,7,7,36.666666666666664,0.9428090415820634,36.0,38.0,3,2,0,0,3,0,10,1,38,0,2,2,3,1,1,3,0
