base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips
135,5,5-4 5-1 4-3 3-1 3-0 1-1 1-0,4.666666666666667,16.110727964792762,-18.0,18.0,36.0,2,False,2,"Loss,Win,Win",1,0,2,False,0,32
136,6,6-4 6-0 5-5 4-2 3-2 3-1 1-1,8.666666666666666,6.599663291074444,4.0,18.0,14.0,2,False,1,"Draw,Draw,Win",2,25,2,False,2,43
137,7,5-5 5-4 5-2 3-3 2-1 2-0 1-0,36.666666666666664,0.9428090415820634,36.0,38.0,2.0,1,True,0,"Big Win,Big Win,Big Win",2,10,0,False,0,38
138,8,6-5 6-3 6-2 6-0 5-2 1-1 0-0,29.333333333333332,9.285592184789413,20.0,42.0,22.0,1,True,0,"Big Win,Big Win,Big Win",2,0,0,False,4,43
139,9,6-2 5-3 5-0 4-3 3-0 2-2 1-0,15.333333333333334,22.939534045447004,-14.0,42.0,56.0,3,False,3,"Loss,Big Win,Win",1,5,0,False,1,36
140,0,6-6 6-0 5-0 4-4 4-3 4-0 2-2,26.666666666666668,20.28683207293725,-2.0,42.0,44.0,2,False,2,"Big Win,Draw,Big Win",3,5,3,False,2,46
141,1,6-6 6-2 5-5 4-3 4-2 4-1 1-0,16.666666666666668,19.618585292749547,-8.0,40.0,48.0,3,False,3,"Loss,Win,Big Win",2,15,2,False,2,49
142,2,6-5 5-1 4-4 4-3 4-0 3-1 3-0,4.666666666666667,17.98765008430939,-10.0,30.0,40.0,2,False,3,"Big Win,Loss,Loss",1,0,0,False,1,43
143,3,6-6 6-4 5-1 4-1 4-0 3-2 2-0,17.333333333333332,10.624918300339486,4.0,30.0,26.0,3,False,2,"Big Win,Win,Draw",1,20,1,False,2,44
144,4,6-1 6-0 5-5 5-4 4-1 4-0 3-3,5.333333333333333,8.219218670625303,-4.0,16.0,20.0,2,False,1,"Draw,Draw,Win",2,15,3,False,2,47
145,5,6-0 5-4 5-3 5-2 4-2 3-0 1-0,1.3333333333333333,29.044027881055953,-30.0,40.0,70.0,3,False,4,"Loss,Big Win,Big Loss",0,0,3,False,1,40
