Domino,Move_1,Move_2,Move_3,Move_4,Move_5,Move_6,Move_7,Move_8,Move_9,Move_10,Move_11,Move_12,Move_13,Move_14,Move_15,Move_16,Move_17,Move_18,Move_19,Move_20,Move_21,Move_22,Move_23,Move_24,Move_25,Move_26,Move_27,Move_28
3-0,-5.60342015949439,-5.076869781200703,5.392566732291518,-9.427788000106812,-7.723634264964078,-13.471339716630823,1.5664998650550843,-3.6753335535526275,-5.417014057553092,-8.094764141020951,5.7990677192293365,-11.208243131637573,-3.704078933087791,-10.556472982679095,1.831326083590587,-0.8938406045947757,-1.594366155564785,-4.218284979462624,1.8265234014640253,-4.626916534022281,-2.900955617427826,-4.030651434109761,2.575218359629313,-3.1754568149335682,-1.4674143552780152,-2.8651920744838812,2.536704584956169,-6.532077610492706
6-3,-5.835486317139406,-9.45667889714241,3.5348139156897864,-10.669248793087899,-10.069993486931157,-12.512353034246535,0.37755277156829836,-3.8527503973100243,-4.849544144975833,-10.006566364850316,1.1002751410007476,-4.104958351169314,-1.7857206064675535,-6.436592362821102,-3.2023579105734825,0.3025826838883487,-1.5633841959329753,-2.7325409449636937,1.4931191188784747,-8.306489337574352,1.9302544239908457,-4.857174867498023,-2.138056530402257,-1.5033383055457048,1.8203441798686981,-1.8833520242146082,-0.017806971073150636,1.8779547313849132
6-1,-5.7056145668029785,-8.561463034671286,-1.8886832346518834,-15.262454761399162,-8.679896756163183,-9.135919044847073,3.194871310920765,-8.212709746427006,-4.000759885441966,-9.633140309290452,1.1771443692537455,-10.317266935651952,1.3082162365317345,-2.0649373006253016,-3.3197762578725816,-4.581570711205988,-1.2873108528162305,-3.534704777598381,0.3948658547903362,-2.104403025225589,-0.6967994499465694,-4.971082172822207,2.579027942248753,1.5969127544334956,4.734755537871804,-1.0575728584080935,2.555612484614054,-2.6816498398780824
4-0,-4.245212137921532,-11.589978379361769,6.814452290534973,-12.174928396940231,-7.693625308573246,-7.558149620890617,1.6268697776964733,-7.5787042617797855,-5.663413273068992,-8.579782166651317,5.323531423744402,2.7751385465912195,-4.620658466944823,-1.2368403010898166,-2.1072691601255666,-9.030220325697552,1.4939738704312233,-7.024142287671566,-0.2818866035212641,-10.574950903654099,2.236498683691025,-0.3536558449268341,-3.392931491136551,-5.532192211884719,1.1611562222242355,-1.9271627465883892,1.9824905022978783,4.074111953377724
1-0,-5.153149000081149,-15.261960742650208,0.09340667062335545,-3.169484531879425,-8.004010483622551,-6.130814822096574,5.315862050056458,-1.582925887107849,-4.41574377566576,-5.063943710016168,9.796590410746061,-8.612040162086487,-5.634052171900466,-5.543888971919105,0.24336360923705563,-0.605604538792058,-1.2834555483781374,-3.98267794566022,1.502715788781643,0.5776945164329127,-0.8185490524768829,-2.8710895400228247,0.46558768515075954,-5.379471366107464,0.4981297025313744,-5.594970770180225,-1.5926474407315254,-5.960834429544561
4-3,-4.709680624184061,-10.060128806829452,0.8299285041598173,-6.5174339996142825,-7.930787860324569,-4.887877876108343,5.832693834602833,-9.931469222773677,-4.743538344190235,-0.9770406543305425,5.10806842148304,-11.364466376926588,-4.550427769913393,-1.6838552951812744,4.789363283178081,-1.6648140704190288,-3.5299046643470464,-7.584426237477197,2.264732665485806,-3.5378533290589558,-2.738533131281535,-2.549211812870843,2.1889306562287465,-3.352221346563763,4.884792238473892,-3.0966697186231613,4.012610759053912,-1.4777286251386006
5-4,-4.2667905521586595,-13.735743993094989,0.773253915210565,-10.516155099868774,-5.304753319422404,-9.126321150196922,1.1137977913022041,-1.8928316164016723,-6.60940625362618,-3.4580633640289307,4.5710760267341835,-5.559370470046997,-7.943143606185913,-5.621479341858311,1.5521391453566376,-8.891288524324244,3.038512395487891,-6.573155922549112,3.022376725156056,-6.53159716559781,2.6872680203782187,-7.55589494380084,4.766051222880681,3.0709954565390944,5.901431863506635,4.504434242844582,2.613913357257843,2.9034399688243866
5-3,-6.646438654678971,-7.551507741212845,2.9713142175566065,-15.325126704962358,-8.832058124396266,-8.526784391964183,4.589642506379348,2.0017702251672747,-0.8978124875575304,-8.518351318395656,-0.3366333945937779,-6.776754980285962,-2.970433446201118,-2.7820841863199517,2.949280551501683,-4.25428894162178,1.2959699944445962,-5.75960184712159,3.3145603603786893,-3.7021831382404673,3.2723123856953213,-1.6804951969534159,-1.4841399246996099,-3.2554794371128084,2.238372423819133,-2.0292653973613466,2.8738226294517517,3.647482395172119
0-0,4.325989438907096,-7.951229404658079,10.407055139541626,-5.516547926094221,2.8202339249606037,-11.68027013540268,1.1429376244544982,-3.689434382650587,4.065812644806314,-5.61582458615303,3.9659933421760796,-7.667476310449488,1.034960698140295,-7.927588958489268,1.7122535885408008,-8.672771617770195,2.769379632491054,-9.807766776335868,0.41643485095765853,-9.391819191830498,-0.3570965045974368,-7.399041189087762,3.272989596426487,-4.593143594264984,-2.1754143025193895,-2.42744451548372,1.5251259803771973,-1.4025093615055084
6-2,-3.5394766619428992,-1.3846956026618895,10.126092181486243,-5.227014223734538,-7.613230414156403,-3.9213063296149757,7.143908484415575,-9.345588418859535,-1.296123036146164,-5.436296840508779,4.271045884778423,-4.9079574868083,-0.4031994036265782,-7.385363894902791,0.8964016771316529,-4.452463351763212,-1.7146334566727832,-6.224749016265075,0.06558429598808288,-7.868547148174709,1.6298157539632585,-5.476933466536658,-0.6370936400360532,-1.2653237055329716,0.882871687412262,-6.5604565640290575,3.0696290532747903,-1.1319887723241533
6-5,1.0520209722659166,-6.519699320793152,0.3328302632207456,-5.016620622740851,-1.6412936753156233,-7.663610902925332,-1.3846021871412955,-2.5396294737684317,-0.50710193398926,-9.07566498965025,4.929509023825328,-5.73135995095776,-2.4496760955878667,-2.1086507895413567,4.434834691882133,-11.520791121891566,0.9002106189727783,-5.138522100448609,0.6451458272181059,-8.157663262408713,4.396696901321411,-0.25856026319357067,-0.06268482357263565,-2.1704697012901306,5.2922678391138716,-3.6905170269310474,5.251164329051972,4.076128773391247
