pair,d1,d2,synergy,observed,count
1-0 + 5-4,1,19,5.122172891998645,15.511111111111111,15
4-1 + 6-0,11,21,5.050644914673949,6.571428571428571,14
0-0 + 6-2,0,23,5.008830169487377,17.999999999999996,15
4-0 + 4-4,10,14,5.001271318536698,25.958333333333332,16
5-4 + 6-3,19,24,4.974517222788069,13.80952380952381,7
3-0 + 5-2,6,17,4.963854772887027,17.407407407407405,9
3-2 + 6-2,8,23,4.946384202733283,11.62962962962963,9
6-3 + 6-5,24,26,4.773109080740655,11.794871794871794,13
3-0 + 4-2,6,12,4.678370000475255,10.844444444444443,15
3-1 + 4-3,7,13,4.6747672765749755,17.523809523809522,7
4-2 + 5-1,12,16,4.648023717955059,11.515151515151514,11
2-2 + 4-1,5,11,4.644825137345931,20.0,12
1-1 + 3-3,2,9,4.57408579088337,23.333333333333332,12
6-0 + 6-5,21,26,4.530074483758693,3.288888888888889,15
5-2 + 6-3,17,24,4.484850971514808,17.75,8
4-2 + 4-4,12,14,4.312067695360174,20.800000000000004,10
6-5 + 6-6,26,27,4.306551621334226,17.85185185185185,9
4-1 + 6-5,11,26,4.280645670990495,9.777777777777777,18
2-0 + 6-0,3,21,4.212638355796248,11.476190476190476,14
5-4 + 6-0,19,21,4.194608388931868,4.766666666666667,20
5-1 + 6-5,16,26,4.194018421844506,11.095238095238097,14
5-0 + 6-5,15,26,4.1444981384221915,18.571428571428573,7
2-1 + 5-0,4,15,4.078187512537934,24.133333333333333,10
6-0 + 6-2,21,23,4.04121513919158,4.19047619047619,14
4-3 + 6-3,13,24,3.9187517017089704,20.148148148148145,9
1-1 + 6-0,2,21,3.9018361366217205,7.5555555555555545,12
3-3 + 6-1,9,22,3.7956876096446805,22.484848484848484,11
3-3 + 5-2,9,17,3.7589378236662867,23.866666666666667,10
2-1 + 4-1,4,11,3.69516532593652,14.82051282051282,13
5-3 + 5-4,18,19,3.6774203138490567,10.666666666666666,14
3-2 + 4-0,8,10,3.666102779237791,13.393939393939393,11
0-0 + 6-5,0,26,3.5897530061179825,15.19047619047619,14
5-1 + 6-4,16,25,3.5644740600420732,19.5,8
3-1 + 6-0,7,21,3.5571621573283703,3.2222222222222228,12
3-2 + 6-0,8,21,3.5462947673299405,4.862745098039215,17
6-2 + 6-3,23,24,3.543346195270006,11.955555555555557,15
2-2 + 3-0,5,6,3.5315345137104757,19.589743589743588,13
1-0 + 1-1,1,2,3.529400639688495,16.999999999999996,10
2-1 + 3-3,4,9,3.5074420835646514,22.999999999999996,12
4-2 + 6-6,12,27,3.4411725980604597,16.95238095238095,14
3-2 + 6-5,8,26,3.434473946530792,8.727272727272727,11
6-0 + 6-6,21,27,3.4310482195150342,13.0,10
5-1 + 5-3,16,18,3.3852134288289832,12.727272727272725,11
4-3 + 6-4,13,25,3.3562304792981017,24.333333333333332,10
2-0 + 4-0,3,10,3.3250615956134446,19.0,16
5-0 + 6-6,15,27,3.2962655249721813,28.53333333333333,10
5-5 + 6-1,20,22,3.294082385676589,24.095238095238095,14
1-0 + 6-6,1,27,3.280834944804031,22.666666666666664,9
3-1 + 6-3,7,24,3.271991626105205,11.2,15
2-1 + 4-2,4,12,3.1066110691426996,11.435897435897438,13
0-0 + 5-3,0,18,3.0695483017027527,17.11111111111111,6
1-0 + 2-2,1,5,3.047744379106831,21.48148148148148,9
0-0 + 1-0,0,1,3.0349358004872613,20.476190476190474,7
4-2 + 6-4,12,25,3.020178310025498,14.755555555555555,15
4-3 + 6-0,13,21,3.0113296403395484,10.977777777777781,15
0-0 + 6-6,0,27,3.0058061069536883,25.416666666666664,8
4-1 + 4-3,11,13,2.9063452720157947,17.61111111111111,12
4-2 + 6-2,12,23,2.8751490415465355,6.966666666666669,20
2-0 + 3-1,3,7,2.823550739506425,14.969696969696969,11
4-3 + 5-4,13,19,2.789414085379052,16.545454545454547,11
4-2 + 5-0,12,15,2.773828109857419,17.166666666666664,8
6-0 + 6-4,21,25,2.752333873760012,10.545454545454545,11
1-1 + 4-1,2,11,2.741296212742416,13.133333333333335,10
4-2 + 6-0,12,21,2.6389138347033034,1.3636363636363642,22
2-1 + 5-3,4,18,2.589721525937369,13.393939393939394,11
4-1 + 5-4,11,19,2.5684118993959952,9.878787878787879,11
0-0 + 2-0,0,3,2.561205767044431,22.666666666666668,8
4-0 + 4-3,10,13,2.4971655785694438,18.875,16
