base_seed,decl_id,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate,five_pt_locks,ten_pt_locks,five_pt_rate,ten_pt_rate,total_locks
163,3,27.333333333333332,22.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
164,4,-20.666666666666668,12.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
165,5,10.666666666666666,12.0,False,True,True,False,False,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333,2,0,0.8888888888888888,0.5,2
166,6,3.3333333333333335,10.0,False,False,False,False,True,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,0,1,0.3333333333333333,0.6666666666666666,1
167,7,26.666666666666668,22.0,True,False,True,True,False,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,2,1,0.7777777777777777,0.6666666666666666,3
168,8,-5.333333333333333,24.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.5,0
169,9,35.333333333333336,14.0,False,True,True,True,False,0.0,1.0,1.0,1.0,0.3333333333333333,2,1,0.6666666666666666,0.6666666666666666,3
170,0,28.0,20.0,False,True,True,False,False,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.7777777777777777,0.3333333333333333,2
171,1,36.666666666666664,14.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0,0.4444444444444444,0.16666666666666666,0
172,2,32.666666666666664,26.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
173,3,6.0,58.0,False,False,False,True,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0,2,0.3333333333333333,1.0,2
174,4,-24.0,22.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
175,5,26.666666666666668,2.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1,0.6666666666666666,0.6666666666666666,2
176,6,-12.0,46.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
177,7,10.0,66.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
178,8,16.666666666666668,44.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
179,9,-2.0,46.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,0.3333333333333333,0
180,0,24.0,32.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
181,1,32.0,26.0,False,False,True,False,False,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1,0,0.3333333333333333,0.5,1
182,2,24.0,38.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
183,3,35.333333333333336,12.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
184,4,23.333333333333332,6.0,True,False,True,True,False,1.0,0.0,1.0,1.0,0.3333333333333333,2,1,0.6666666666666666,0.6666666666666666,3
185,5,6.0,54.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
186,6,11.333333333333334,46.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
187,7,-2.6666666666666665,32.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0,0,0.3333333333333333,0.16666666666666666,0
188,8,-6.666666666666667,2.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
189,9,34.0,24.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
190,0,24.0,20.0,False,True,False,False,False,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.4444444444444444,0.3333333333333333,1
191,1,26.666666666666668,46.0,True,True,False,False,False,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,2,0,0.8888888888888888,0.16666666666666666,2
192,2,31.333333333333332,12.0,False,False,True,True,False,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,1,1,0.5555555555555555,0.6666666666666666,2
193,3,12.0,30.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
194,4,9.333333333333334,36.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,0,0.7777777777777777,0.3333333333333333,2
195,5,18.666666666666668,24.0,False,False,False,True,False,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
196,6,2.0,30.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
197,7,1.3333333333333333,72.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,1
198,8,10.0,36.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,1
199,9,42.0,0.0,False,True,False,False,False,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,1,0,0.6666666666666666,0.16666666666666666,1
