base_seed,decl_id,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate,five_pt_locks,ten_pt_locks,five_pt_rate,ten_pt_rate,total_locks
33,3,24.0,30.0,False,True,False,False,True,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0,1,1,0.6666666666666666,0.8333333333333333,2
34,4,33.333333333333336,24.0,False,True,True,False,True,0.0,1.0,1.0,0.3333333333333333,1.0,2,1,0.6666666666666666,0.6666666666666666,3
35,5,8.0,46.0,False,True,False,False,False,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
36,6,-8.666666666666666,58.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,0.3333333333333333,0
37,7,-1.3333333333333333,10.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0,0,0.4444444444444444,0.16666666666666666,0
38,8,-20.666666666666668,46.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
39,9,33.333333333333336,26.0,True,True,True,False,False,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,3,0,1.0,0.5,3
40,0,-23.333333333333332,48.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,0.3333333333333333,0
41,1,-20.666666666666668,44.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
42,2,19.333333333333332,46.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0,2,0.3333333333333333,1.0,2
43,3,7.333333333333333,58.0,False,False,True,True,True,0.0,0.0,1.0,1.0,1.0,1,2,0.3333333333333333,1.0,3
44,4,31.333333333333332,32.0,False,True,False,False,True,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1,1,0.5555555555555555,0.6666666666666666,2
45,5,8.666666666666666,62.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
46,6,8.666666666666666,12.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,2,0,0.7777777777777778,0.16666666666666666,2
47,7,25.333333333333332,44.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
48,8,8.0,30.0,False,True,True,False,False,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.8888888888888888,0.3333333333333333,2
