base_seed,decl_id,trump_suit,trump_count,has_trump_double,total_locks,avg_capture_rate,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate
90,0,0,2,False,0,0.4666666666666667,-20.666666666666668,30.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
91,1,1,3,False,1,0.6,20.666666666666668,44.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
92,2,2,1,False,1,0.5333333333333333,-8.666666666666666,68.0,False,False,True,False,False,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
93,3,3,2,False,1,0.3333333333333333,8.0,10.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
94,4,4,1,False,2,0.6666666666666666,-0.6666666666666666,70.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0
95,5,5,1,False,2,0.5333333333333333,-10.0,76.0,False,True,False,False,True,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0
96,6,6,4,True,3,0.8,34.666666666666664,22.0,True,False,True,False,True,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0
97,7,7,0,False,3,0.7333333333333333,38.666666666666664,2.0,True,False,True,False,True,1.0,0.0,1.0,0.6666666666666666,1.0
98,8,8,0,False,0,0.3333333333333333,7.333333333333333,36.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
99,9,9,0,False,2,0.6666666666666667,9.333333333333334,32.0,False,False,True,True,False,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333
100,0,0,4,False,0,0.3333333333333333,22.666666666666668,36.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
101,1,1,0,False,1,0.4666666666666666,18.0,36.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
102,2,2,1,False,3,0.8666666666666666,32.666666666666664,16.0,False,True,True,False,True,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
103,3,3,4,False,1,0.5333333333333333,34.666666666666664,22.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
104,4,4,2,False,1,0.4666666666666666,22.0,36.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
105,5,5,1,True,2,0.6666666666666667,18.0,12.0,False,True,True,False,False,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333
106,6,6,2,False,2,0.4666666666666667,4.0,78.0,False,False,True,True,False,0.0,0.0,1.0,1.0,0.3333333333333333
107,7,7,0,False,2,0.7333333333333333,36.666666666666664,12.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0
108,8,8,0,False,2,0.6,29.333333333333332,24.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0
109,9,9,0,False,0,0.39999999999999997,24.666666666666668,52.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
110,0,0,2,False,2,0.5333333333333334,20.666666666666668,8.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333
111,1,1,2,True,2,0.6,26.666666666666668,46.0,True,True,False,False,False,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
112,2,2,2,False,2,0.6666666666666667,36.666666666666664,14.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0
113,3,3,1,False,0,0.4666666666666667,11.333333333333334,34.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
114,4,4,2,False,0,0.39999999999999997,24.666666666666668,38.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
115,5,5,4,True,2,0.4666666666666667,34.0,24.0,False,False,True,True,False,0.0,0.0,1.0,1.0,0.3333333333333333
