,0-0,1-0,1-1,2-0,2-1,2-2,3-0,3-1,3-2,3-3,4-0,4-1,4-2,4-3,4-4,5-0,5-1,5-2,5-3,5-4,5-5,6-0,6-1,6-2,6-3,6-4,6-5,6-6
4-0,-1.2738562564131115,7.655934486199136,-2.481772369592827,3.3250615956134446,-1.2746065531020196,2.221756555010689,5.269557750635915,0.4949822225423919,3.666102779237791,-8.013666076891708,0.0,0.6011633925863844,-11.402775479592055,2.4971655785694438,5.001271318536698,-1.9453016002993841,-3.541385712481463,-5.524698114587688,14.611181908049543,1.616555438272874,-1.4882982738867732,2.2823382371006113,-9.873806914467881,-1.5350063096359108,-1.610646701936961,1.7954930443131403,-1.9702006891225246,2.3053762212369904
4-1,-1.2071368804270772,1.2623364018677101,2.741296212742416,-0.6685364887179794,3.69516532593652,4.644825137345931,2.0681674585122796,-4.903377766550937,10.167454189855858,-6.14146329542227,0.6011633925863844,0.0,7.114737547187632,2.9063452720157947,1.9541018056338473,0.1444336487025275,-2.2465222583513498,1.259481578858665,-2.7379717318374324,2.5684118993959952,-6.7383066146284545,5.050644914673949,-3.7219504533447605,2.249676149019093,-3.95039863242223,-0.8647717066849516,4.280645670990495,-5.021555196427764
4-2,2.4333686918389272,1.5417308630226039,7.165928769135403,-1.3876268760479338,3.1066110691426996,1.1908862651674923,4.678370000475255,-3.073983305396043,1.607959762121867,-3.311732133930674,-11.402775479592055,7.114737547187632,0.0,-0.908704711273753,4.312067695360174,2.773828109857419,4.648023717955059,-2.2777906266531067,1.7914227293174614,-2.257904595160065,9.032113487552078,2.6389138347033034,0.8629995633656904,2.8751490415465355,0.44822659796343345,3.020178310025498,6.173929021034279,3.4411725980604597
4-3,-8.95650506481439,-3.5611058565936773,0.7178539542810256,0.9413545861539632,-3.737678641926573,-3.6897282322265674,-2.5593152039895077,4.6747672765749755,-3.0132530258704833,-7.262452451430553,2.4971655785694438,2.9063452720157947,-0.908704711273753,0.0,-3.473247656734749,-7.523453054203305,-0.5088534057016272,-4.26025697589902,7.416363787478957,2.789414085379052,-6.927560838901812,3.0113296403395484,-0.32317048958392647,5.250090099708027,3.9187517017089704,3.3562304792981017,-0.003402648076955117,-6.328691538583239
4-4,-3.387584510032319,-4.05486336448967,0.5830708053593945,-1.3012717000225713,1.2343758159893987,-2.957844714481535,-6.931472090284878,-3.9996984120291916,-3.6950447218006577,-4.095648298764882,5.001271318536698,1.9541018056338473,4.312067695360174,-3.473247656734749,0.0,-3.2137917586804896,-6.123978434965139,0.4845895048089801,-2.9115817546050664,1.3117907700878462,-4.686275611755061,1.2491960640674886,-1.9468425273944412,1.4949365804160237,-6.364179595360804,-1.5563304474013009,-4.6553575141703,-6.498828222858407
5-0,0.10144863173766794,-3.6614013182907854,-1.0996132245877988,-10.998334814937078,4.078187512537934,-6.527397431297409,2.478436472360521,6.333490573896631,-3.3655187395378423,-0.444998995378743,-1.9453016002993841,0.1444336487025275,2.773828109857419,-7.523453054203305,-3.2137917586804896,0.0,10.407012748762885,-6.721598798642486,-0.6859518762383523,-2.040174305610986,-3.890327163069781,9.349418017026283,-4.511008038823119,-5.617377079160795,-8.269085847530219,-6.211236699570719,4.1444981384221915,3.2962655249721813
5-1,-3.433446669255609,0.9249155019280675,0.20387531280277038,-0.14669812939836469,6.803898272150727,-2.1532018231997725,-1.4944282666021902,-4.0296875553794695,-0.5421889323060025,-2.863732680210397,-3.541385712481463,-2.2465222583513498,4.648023717955059,-0.5088534057016272,-6.123978434965139,10.407012748762885,0.0,1.818356975215318,3.3852134288289832,1.5818327502981049,0.5983465595059769,10.408462109972401,6.3572953133822665,0.04166701378532878,-2.521152865695207,3.5644740600420732,4.194018421844506,-5.240768813454242
5-2,0.6558905012877361,1.1809193391380823,-0.762343072209438,1.4214750199809636,9.059902109360737,0.011892923101150643,4.963854772887027,6.019967075481336,-2.6472962062071,3.7589378236662867,-5.524698114587688,1.259481578858665,-2.2777906266531067,-4.26025697589902,0.4845895048089801,-6.721598798642486,1.818356975215318,0.0,-3.800341175519442,-2.4584597087881797,1.3040858464514393,-0.8540525713361022,1.085521372814501,-1.6417230883985958,4.484850971514808,-6.279522102747912,1.1881174971497561,-0.4553532115383483
5-3,3.0695483017027527,0.18346602844198223,-3.1820186051277553,0.7435022287653812,2.589721525937369,1.8377496357150775,0.4542321500216211,6.695529637801114,2.13302826087458,-2.4162932648075905,14.611181908049543,-2.7379717318374324,1.7914227293174614,7.416363787478957,-2.9115817546050664,-0.6859518762383523,3.3852134288289832,-3.800341175519442,0.0,3.6774203138490567,-0.41717698805418024,-0.08854291906923706,1.5325125065628473,-1.6331157930340874,1.0707309941520453,-0.8769754134440095,-3.1760024802130076,-5.890901760329683
5-4,-1.8584115014072538,5.122172891998645,2.3515600533007,-2.71981110969816,7.3233778844435236,-3.2064494836342465,1.1987110193502843,5.434236501357773,9.43941189210801,10.39648767282314,1.616555438272874,2.5684118993959952,-2.257904595160065,2.789414085379052,1.3117907700878462,-2.040174305610986,1.5818327502981049,-2.4584597087881797,3.6774203138490567,0.0,-5.048840494867889,4.194608388931868,-10.289891740991603,-2.0870015220700187,4.974517222788069,1.0839536723348715,-7.948406727767459,-5.580766325344451
