base_seed,decl_id,first_divergence_depth,early_game_rate,mid_game_rate,late_game_rate
97,7,27,0.16666666666666666,0.27127097456923954,0.5379781064217162
98,8,24,0.14285714285714285,0.18399527308895386,0.45619883145317897
99,9,27,0.5,0.2937704059410133,0.5197741053015633
100,0,28,0.375,0.48163136646055194,0.6878708762613246
101,1,28,0.047619047619047616,0.20023404841002373,0.5469303391730962
102,2,27,0.03571428571428571,0.18144223352777347,0.4280944113348994
103,3,28,0.0,0.40985150780095136,0.7122190299407339
104,4,28,0.0,0.11967883242809184,0.3927767237157379
105,5,28,0.0,0.21589037540975395,0.42772182027581235
106,6,27,0.4444444444444444,0.3039478140888013,0.5752215139085121
107,7,28,0.0,0.2512359716070769,0.48584914550591474
108,8,28,0.0641025641025641,0.15180745935660472,0.4597933072716248
109,9,27,0.0,0.17086705232152008,0.48960749171699847
110,0,28,0.25,0.24312762808661795,0.43715554092017506
111,1,27,0.5,0.12742831736107987,0.42023607317363565
112,2,28,0.0,0.15556770517660187,0.41635941071253413
113,3,27,0.3125,0.1299911105699365,0.4781429187964079
114,4,28,0.07407407407407407,0.16401321656617168,0.38550814215480445
115,5,28,0.25,0.3714392894596905,0.6063156826453147
116,6,27,0.0,0.17864946589641906,0.5297983316712382
117,7,27,0.1349206349206349,0.185611623270687,0.44853108876693726
118,8,27,0.0,0.3089532113665471,0.5293097947756532
119,9,28,0.0,0.267674835175428,0.5323331710014502
120,0,27,0.5625,0.23721710581598562,0.5711645788044275
121,1,28,0.20833333333333331,0.26456168363206406,0.5120842937145036
122,2,27,0.3352272727272727,0.17325567473183118,0.5273269195225543
123,3,28,0.0,0.2121137173029975,0.48822244349273164
124,4,27,0.0,0.30193846545116215,0.49409382960749076
125,5,28,0.0,0.14247323685894248,0.4338642932667174
126,6,27,0.0,0.229236744329175,0.5489273469892079
127,7,28,0.2857142857142857,0.1728067773868301,0.4529257593200501
128,8,27,0.3125,0.1583875768487311,0.44665117525401754
129,9,27,0.3333333333333333,0.1776281078998949,0.5200365217480674
130,0,27,0.25,0.27585381126017333,0.4435775800225416
131,1,28,0.0,0.20480243094170733,0.4869475576977001
132,2,27,0.019230769230769232,0.1956708580443885,0.504358863716373
133,3,28,0.0,0.23197130866978385,0.41329578519122856
134,4,27,0.0,0.7799730665598145,0.8824760022719108
135,5,27,0.25,0.1269735390254647,0.398080312965783
136,6,27,0.25,0.30876995409786295,0.5581037001025204
137,7,28,0.0,0.16814561606791778,0.4099397312048715
138,8,27,0.125,0.20492022628958625,0.4470979064969729
139,9,28,0.0,0.22649576712329728,0.5102065176703843
140,0,27,0.4523809523809524,0.35355566002922106,0.6332310611152427
141,1,28,0.24074074074074073,0.16179919135251913,0.4832678546052587
142,2,28,0.03571428571428571,0.3090892208611319,0.5465621953515487
143,3,27,0.0,0.13447381545430642,0.39002166452908416
144,4,28,0.0,0.30790119143230626,0.49576872608309
145,5,28,0.0,0.1970212242760478,0.46940457295649834
146,6,26,0.3333333333333333,0.21264318423890308,0.4908772667541005
147,7,27,0.2333333333333333,0.16960882970285568,0.40604259383599894
148,8,27,0.06802721088435373,0.16658067834400925,0.44824605778837645
149,9,27,0.3333333333333333,0.27431885267468004,0.5584819156302306
150,0,28,0.07142857142857142,0.1267070470994351,0.4334566895143942
151,1,28,0.0,0.16502053039891057,0.5315187730122453
152,2,27,0.31428571428571433,0.2182691594769557,0.5226295179245055
153,3,28,0.0,0.12095668156678122,0.4101535879557618
154,4,27,0.0,0.1827058293524964,0.4322527503255687
155,5,28,0.0,0.1983302327090229,0.4201018027998658
156,6,28,0.05238095238095238,0.19878953310269173,0.5175928670105345
157,7,28,0.0,0.31168463138615105,0.48010523486427364
158,8,28,0.1870748299319728,0.2531509581288787,0.5548094402564707
159,9,27,0.0,0.2535389933933174,0.4835576159887628
160,0,27,0.16666666666666666,0.14349486047306662,0.46407611993281483
161,1,28,0.43452380952380953,0.13408109898947582,0.41356030888217077
162,2,27,0.047619047619047616,0.3861240635670484,0.6529519291769065
163,3,27,0.3333333333333333,0.29858198991200535,0.5810235596598995
164,4,28,0.0,0.20157722485571525,0.4712415055554199
165,5,28,0.0,0.24015158248431748,0.4446412052476475
166,6,27,0.25,0.13241498417479158,0.4740405829914753
167,7,27,0.0,0.1816935005874573,0.489638210882459
168,8,27,0.3333333333333333,0.31195207672683467,0.5244026608121457
169,9,28,0.0,0.16568280613693234,0.48623841216978525
170,0,28,0.0,0.15055584935926472,0.4164124126111718
171,1,28,0.1111111111111111,0.42938526804072413,0.6543149933350019
172,2,27,0.1701388888888889,0.20941647283468728,0.4761090765589559
173,3,27,0.0,0.13694673136184443,0.45591226320993244
174,4,28,0.0,0.26398290602263663,0.47612914609849427
175,5,28,0.2,0.1835762758219331,0.42388868619239367
176,6,27,0.25,0.38837657692119176,0.5307600805479937
177,7,28,0.08571428571428572,0.20387055410266258,0.42999647313206574
178,8,28,0.17592592592592593,0.18639012363520488,0.39298041422909236
179,9,27,0.3238095238095238,0.29435879870017057,0.4688840188372108
180,0,28,0.34285714285714286,0.17792813541124516,0.472929345724782
181,1,26,0.1726190476190476,0.28899215708628573,0.5557780102124071
182,2,27,0.0,0.1615684296838956,0.46567999674153615
183,3,28,0.06666666666666667,0.30989987817742615,0.4869991373598525
184,4,28,0.027777777777777776,0.19982398435814008,0.44709385483083536
185,5,28,0.0,0.19084621452840492,0.45274725332841176
