base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
24,4,6241,9102,3099,1644,4359,34.04746209624258,18.06196440342782,5.689687823736205,5282,1989,775,37.65619083680424,0.3826134293539948
25,5,3775,5399,1523,997,2879,28.20892757918133,18.466382663456198,6.228947466792191,3175,963,513,30.330708661417322,0.2851821998268455
26,6,13043,19294,8055,4287,6952,41.748730175183994,22.219342800870738,5.9326453182585945,10803,5234,1575,48.4495047671943,0.4149706945770096
27,7,7157,8212,1144,1044,6024,13.930832927423284,12.713102776424744,6.425992974591975,5802,838,577,14.443295415374008,0.20114664663048876
28,8,3038,3386,1107,385,1894,32.69344359125812,11.370348493797993,5.441434422586653,2762,879,328,31.824764663287475,0.44828409758965315
29,9,6121,7375,2403,837,4135,32.58305084745763,11.349152542372881,5.421283062868245,5981,2122,672,35.479016886808225,0.26876023332410526
30,0,6629,7306,1579,1532,4195,21.612373391732824,20.969066520667944,6.608986350470644,5854,1294,1196,22.104543901605737,0.2638522456925656
31,1,5503,7320,295,3324,3701,4.030054644808743,45.40983606557377,10.045005571493855,5042,135,2356,2.67750892502975,0.11390648758162825
32,2,2374,2977,1042,598,1337,35.00167954316426,20.087336244541483,5.996964677623776,1899,696,377,36.65086887835703,0.49789485534166383
33,3,4585,7831,1209,2448,4174,15.438641297407738,31.260375430979444,8.24237154163464,4156,769,1026,18.50336862367661,0.2014423458641636
34,4,5614,5725,1985,1197,2543,34.672489082969435,20.90829694323144,6.008867941904315,3519,1466,588,41.65956237567491,0.34004410652873435
35,5,6488,7857,1221,1267,5369,15.54028255059183,16.125747740868015,6.6124476300615065,5590,945,807,16.905187835420392,0.18572228162544452
36,6,8080,10405,1826,3639,4940,17.54925516578568,34.97357039884671,7.957203528978531,5877,1162,2100,19.771992513187,0.2730826782397837
37,7,245,264,70,34,160,26.515151515151516,12.878787878787879,5.892552536293267,200,46,29,23.0,0.3240740740740741
38,8,6501,7551,2614,1020,3917,34.617931399814594,13.50814461660707,5.370261350242778,5973,2245,684,37.585802779172944,0.41062365869193
39,9,9193,11678,3715,1509,6454,31.81195410172975,12.921733173488612,5.639899569950019,9711,3270,1216,33.67315415508186,0.29453137255024325
40,0,10207,10475,1558,1833,7084,14.873508353221956,17.498806682577566,6.909885667086943,7172,1016,1237,14.166201896263244,0.1663577941302162
41,1,2641,3276,812,71,2393,24.786324786324787,2.167277167277167,5.0876525324189465,3096,738,69,23.837209302325583,0.24916211942134003
42,2,4605,6628,1275,1015,4338,19.23657211828606,15.31382015691008,6.235652160014764,4345,953,577,21.933256616800918,0.2839174971103425
43,3,6092,6776,879,1415,4482,12.972255017709564,20.882526564344747,7.289574880674059,3889,564,750,14.502442787348931,0.179860655343908
44,4,16501,37116,11545,6166,19405,31.105183748248734,16.612781549735963,5.683340818612831,31926,11278,3068,35.32544008018543,0.3542677742910786
45,5,7697,10117,1169,3143,5805,11.554808737768113,31.066521696154986,8.065578886986295,6115,857,1760,14.01471790678659,0.15825149002645084
46,6,16233,23554,2226,8158,13170,9.45062409781778,34.63530610512015,8.596331138853348,8638,683,3049,7.906922898819172,0.17569557020028695
47,7,1111,945,308,96,541,32.592592592592595,10.158730158730158,5.287193060500623,737,231,60,31.343283582089555,0.43833973004394267
48,8,6158,6853,2284,1532,3037,33.328469283525465,22.35517291697067,6.332160312785432,4813,1798,942,37.35715769790151,0.33340664055927643
49,9,14550,13679,2151,4263,7265,15.724833686673003,31.164558812778715,8.165852584980822,10299,1677,3272,16.283134284882028,0.2792054698945792
50,0,5996,7230,1657,516,5057,22.918395573997234,7.136929460580912,5.6358514464860985,4528,1214,247,26.810954063604242,0.25199707528806836
51,1,2929,3261,448,846,1967,13.738117141980988,25.94296228150874,7.786834879432837,2301,266,484,11.56019122120817,0.25073378938315555
52,2,3523,4139,1079,969,2091,26.069098816139164,23.41145204155593,6.794906047462926,2266,760,391,33.53927625772286,0.2576763913112414
53,3,1665,2053,253,477,1323,12.323429128105213,23.23429128105212,7.575998051805492,1511,183,369,12.111184645929848,0.2667465611502633
54,4,1947,2295,433,485,1377,18.86710239651416,21.13289760348584,6.946341856005793,1313,244,262,18.583396801218584,0.2420592807796574
