base_seed,mean_v,std_v,v_spread,total_var,between_config_var,between_depth_var,residual_var,config_dim_ratio,depth_dim_ratio,collapse_score,participation_ratio,mean_trajectory_corr,n_depths
32,-7.333333333333333,28.58126814696802,70.0,298.0152919984294,170.78845782193002,20.444071481808564,106.78276269469082,0.5730862221084618,0.06860074644060986,0.42691377789153817,1.3549297653733192,-0.3401611477189319,8
33,24.0,12.96148139681572,30.0,165.97024546904552,65.37501845421144,58.1418531147187,42.45337390011538,0.3938960159362076,0.3503149191013429,0.6061039840637924,1.8271728381380814,0.43668850677948806,8
34,33.333333333333336,10.873004286866726,24.0,176.5804422063159,42.71509895110743,109.2018119001186,24.663531355089873,0.24190164220564855,0.6184252940794408,0.7580983577943514,1.682451579543166,0.796753379829604,8
35,8.0,21.228911104120876,46.0,205.9225820200687,126.92974248682954,30.865420983704634,48.12741854953451,0.6163954494046665,0.14988847109879658,0.3836045505953335,1.4003888678712448,0.19831843569200358,8
36,-8.666666666666666,23.907228102721476,58.0,166.80037503737975,90.86607239314351,16.603587776480083,59.33071486775616,0.5447594010072252,0.09954166933233358,0.4552405989927748,1.3552509470899248,-0.2335909780830966,8
37,-1.3333333333333333,4.714045207910317,10.0,66.9753610057097,36.74437156563628,14.478586349931884,15.752403090141538,0.5486252110310207,0.2161778022920634,0.4513747889689793,1.513661174114229,-0.03145716414799506,8
38,-20.666666666666668,19.48218559493661,46.0,174.3094231854112,65.15269895417865,65.85001603800781,43.306708193224736,0.3737761147019365,0.37777657016261135,0.6262238852980635,1.4468073988628232,0.10686644512590138,8
39,33.333333333333336,12.256517540566824,26.0,179.51554492228885,25.70396468655258,129.96648960919669,23.845090626539587,0.14318517484198745,0.7239845979102164,0.8568148251580125,1.3324470527221939,0.9541637302037969,8
40,-23.333333333333332,22.17105219775452,48.0,193.50147214254926,70.69143776656944,84.86895621465737,37.94107816132245,0.36532764833175146,0.4385959200978887,0.6346723516682485,1.6077691404499446,0.46907653386538745,8
41,-20.666666666666668,18.354533197248273,44.0,123.74067165413696,33.319265931361294,50.551373050896366,39.870032671879294,0.2692668908771625,0.40852673882513474,0.7307331091228375,1.4802558016272025,0.17814070110041888,8
42,19.333333333333332,18.785337071473826,46.0,155.77385227518116,79.75536312799353,29.28073326925807,46.73775587792955,0.5119945482705421,0.18796950092453518,0.48800545172945786,1.3014500441340582,-0.0045178406574398755,8
43,7.333333333333333,23.79542439676633,58.0,105.89033179937623,38.65519206949892,13.240445399910778,53.99469432996653,0.36504930537696767,0.12503922855768002,0.6349506946230323,1.2806041060511708,-0.1803106218602386,8
