base_seed,decl_id,V_mean,total_locked,total_lock_rate,lock_rate_3-2,locked_3-2,lock_rate_4-1,locked_4-1,lock_rate_5-0,locked_5-0,lock_rate_5-5,locked_5-5,lock_rate_6-4,locked_6-4,n_doubles,trump_count,n_6_high,n_5_high,count_points,n_count_dominoes,total_pips,has_trump_double,max_suit_length,suit_5_length,suit_6_length,suit_4_length,suit_3_length,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
59,9,32.666666666666664,0,0.2,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,1,0,2,1,0,0,45,0,4,1,2,2,4,0,0,0,0,0
60,0,18.0,2,0.6,0.0,0,1.0,1,0.6666666666666666,0,0.3333333333333333,0,1.0,1,0,1,4,1,15,2,51,0,4,2,4,3,0,0,1,0,0,1
61,1,14.666666666666666,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.6666666666666666,0,1,2,3,1,10,1,48,0,3,1,3,3,1,0,0,0,0,1
62,2,34.0,2,0.4,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,2,4,2,1,15,2,46,0,4,1,2,1,2,1,0,0,1,0
63,3,11.333333333333334,0,0.2,0.3333333333333333,0,0.0,0,0.0,0,0.6666666666666666,0,0.0,0,2,2,2,2,10,1,46,0,3,3,2,0,2,0,0,0,1,0
64,4,-28.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,1,2,2,5,1,49,0,2,2,2,1,2,0,1,0,0,0
65,5,37.333333333333336,2,0.4666666666666666,0.3333333333333333,0,0.0,0,0.0,0,1.0,1,1.0,1,3,3,1,3,20,2,46,1,3,3,1,2,2,0,0,0,1,1
66,6,2.6666666666666665,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.6666666666666666,0,1,3,3,2,10,1,44,0,3,2,3,3,1,0,0,0,0,1
67,7,23.333333333333332,1,0.39999999999999997,0.6666666666666666,0,1.0,1,0.0,0,0.3333333333333333,0,0.0,0,2,0,1,2,5,1,45,0,3,3,1,2,1,0,1,0,0,0
68,8,9.333333333333334,0,0.4666666666666666,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,1,0,1,1,15,2,40,0,3,1,1,3,2,0,1,0,0,1
