base_seed,v_mean_d28,v_std_d28,v_spread_d28,v_mean_d24,v_std_d24,v_spread_d24,v_mean_d20,v_std_d20,v_spread_d20,v_mean_d16,v_std_d16,v_spread_d16,v_mean_d12,v_std_d12,v_spread_d12,v_mean_d8,v_std_d8,v_spread_d8,v_mean_d4,v_std_d4,v_spread_d4,v_mean_d1,v_std_d1,v_spread_d1
10,-2.6666666666666665,0.0,30.0,-6.432732293697207,12.15752773043618,26.508284600389864,-6.523548892671292,14.503716355523858,21.6278589033445,-6.381020239097331,13.882353278961451,19.117789049813993,-4.673716286744389,12.731342860000998,14.210218657322088,-2.4834342007081207,11.442386501364817,7.255093448761903,-1.0328694231529216,8.093417797099894,1.8336942360757087,-1.0328694231529216,8.093417797099894,1.8336942360757087
11,-15.333333333333334,0.0,62.0,-14.913150024766395,7.019017041192139,47.950780048341024,-8.99688204015352,10.32802868991413,44.166757932742584,-4.413171218540174,11.341146684192196,35.95352469413536,-1.8599605107322408,11.16749576187118,25.40805771905,-0.9458263018439993,10.022032891555172,15.048607152306314,-0.14053219692552835,7.353979043063688,5.130803060534186,-0.14053219692552835,7.353979043063688,5.130803060534186
12,40.0,0.0,6.0,28.085467822415907,11.979410983750455,4.818072181525817,22.886762519458287,13.128360759478165,4.189036124988114,16.199558784514625,12.602429568937668,4.553947914262029,11.452652137811526,11.053478884397387,5.455725139690781,6.957711516890105,9.548445617880743,4.8588109271038755,1.9852654126285643,7.730684737345595,2.7723239170339,1.9852654126285643,7.7306847373455945,2.7723239170339
13,36.666666666666664,0.0,10.0,16.336199996277063,13.142927998091489,22.580052493438323,14.22284432035007,13.93063981242542,17.482174091900568,10.532157046343345,13.633833864880508,15.570259634713182,7.03406192954374,12.365368927196522,12.118173897653985,3.5966197555700865,10.71094575784115,6.407632504363471,1.2274752681908043,7.815058096956833,1.0668787110164417,1.2274752681908043,7.815058096956833,1.0668787110164417
14,6.666666666666667,0.0,6.0,7.580947136710786,8.754710274634187,9.644236671860982,7.40092703185941,12.589099073945548,13.091083352508564,5.685978513873824,13.072799084824716,14.779409754547213,4.241131942338313,12.634860270785024,12.110994257087253,2.8579621931720243,11.35263131128076,6.918812622349675,1.2379748233787335,8.000233334387483,1.8815685576525527,1.2379748233787335,8.000233334387483,1.8815685576525527
15,28.666666666666668,0.0,22.0,22.78954802259887,8.291730255810037,17.13135593220339,19.01191778165388,11.84391665095231,10.076780028125759,14.96977119351186,12.092046889071502,6.708035518788099,11.282152635039495,11.614843612898937,3.450062909303705,6.886243238017474,10.55441771765301,2.2284450659639097,2.2761783191141203,7.813648651548573,0.9187360669609219,2.2761783191141203,7.813648651548573,0.9187360669609219
16,8.666666666666666,0.0,46.0,-8.967062263501893,16.23124791211264,41.12925696594427,-6.942103056897873,13.61775270163769,35.977339184270505,-6.448904986594942,12.79634295554447,28.04941596429307,-5.857517980481618,11.555819396285287,20.022931528473258,-3.881399388476101,10.321762299130102,10.722043042295706,-1.2720895781939783,7.6904905446179095,2.632086239102771,-1.2720895781939783,7.6904905446179095,2.632086239102771
17,18.666666666666668,0.0,2.0,13.932204542363662,9.399124891902678,11.445736434108529,16.13023273408105,10.597454177563339,4.275941291248872,14.488772354039362,11.293996136399892,3.290764112013031,11.80344304087001,11.049865253704679,1.8516940664750035,8.38462334168957,10.459316469941891,0.8535375848079516,3.402476226284714,8.125969716217996,0.11783364336105073,3.402476226284714,8.125969716217996,0.11783364336105073
18,11.333333333333334,0.0,20.0,2.4547809738746604,12.83548193431182,24.62310881582776,3.5791942589653503,15.395441690915836,24.735594849059893,3.941315503096135,15.966854641545927,20.653157663332337,3.292972855494695,14.5946830197307,14.473278651918593,1.871339253325939,12.176871995786179,7.7925170169280165,0.25315645013495175,8.218187005092505,1.6122537663422731,0.25315645013495175,8.218187005092505,1.6122537663422731
19,22.0,0.0,32.0,1.2952380952380953,20.083615102720326,24.08,2.10798286038576,21.078507708075094,16.670482453486784,2.53295285409871,18.447128551710183,11.313496276203932,1.2420739625384565,15.729270173534474,9.155536184255055,0.48660502641648434,12.531517502074436,5.804259436040029,0.016853626360536073,8.250698032324292,1.5830709743636393,0.016853626360536073,8.250698032324294,1.5830709743636393
