seed,V_mean,V_std,alpha_diversity,evenness,n_suits,max_suit_count,trump_count,n_doubles
106,4.0,33.34666400106613,2.4137995646056796,0.8598127531507578,6,4,2,2.0
107,36.66666666666666,4.988876515698588,2.699513850319966,0.9615862351816215,7,3,0,3.0
108,29.33333333333333,9.843215373488936,2.41379956460568,0.8598127531507579,6,4,0,2.0
109,24.666666666666668,24.51303508113365,2.5566567074628237,0.9106994941661899,6,3,0,2.0
110,20.666666666666668,3.771236166328253,2.4677201004744993,0.8790196355599472,6,4,2,3.0
111,26.666666666666668,21.684607956387456,2.502736171594004,0.8914926117570005,6,3,3,4.0
112,36.66666666666666,6.182412330330469,2.6995138503199665,0.9615862351816217,7,3,2,3.0
113,11.333333333333334,14.079141387961917,2.6995138503199665,0.9615862351816217,7,3,1,1.0
114,24.666666666666668,15.69146972791976,2.6995138503199665,0.9615862351816217,7,3,2,2.0
115,34.0,11.31370849898476,2.406666316740689,0.8572718389938252,6,5,5,2.0
116,12.666666666666666,21.24983660067897,2.4137995646056796,0.8598127531507578,6,4,2,3.0
117,28.0,1.632993161855452,2.610577243331642,0.929906376575379,7,4,0,3.0
118,-26.0,19.79898987322333,2.502736171594004,0.8914926117570005,6,3,0,0.0
119,12.0,29.97776954122282,1.959190423419946,0.6978777097353939,4,5,0,1.0
120,41.333333333333336,0.9428090415820634,2.4677201004744997,0.8790196355599474,6,4,4,3.0
121,-0.6666666666666666,6.182412330330469,2.4677201004744993,0.8790196355599472,6,4,2,0.0
122,14.666666666666666,23.79542439676633,2.2988252450030506,0.8188580741754465,6,5,1,2.0
123,29.33333333333333,16.519348924485154,2.4137995646056796,0.8598127531507578,6,4,4,3.0
124,-29.33333333333333,16.519348924485154,2.4956029237290127,0.8889516976000676,7,5,1,2.0
125,36.0,4.320493798938574,2.521640636343318,0.8982265179691364,6,4,4,2.0
126,0.6666666666666666,14.079141387961918,2.4677201004744993,0.8790196355599472,6,4,0,2.0
127,-14.666666666666666,29.31817790306136,2.6455933144511468,0.9423793527724321,7,3,0,1.0
128,-8.0,3.265986323710904,2.502736171594004,0.8914926117570005,6,3,0,1.0
129,16.0,13.36662510384228,2.5027361715940035,0.8914926117570003,6,3,0,2.0
130,29.33333333333333,16.519348924485154,2.41379956460568,0.8598127531507579,6,4,2,2.0
131,2.0,5.887840577551898,2.610577243331642,0.929906376575379,7,4,2,1.0
132,-6.666666666666667,34.42221504913489,2.6105772433316425,0.9299063765753791,7,4,1,0.0
133,11.333333333333334,29.227080289043965,2.4677201004744997,0.8790196355599474,6,4,2,2.0
134,42.0,0.0,2.217021885879718,0.7897191297261369,6,6,6,3.0
135,4.666666666666667,16.110727964792762,2.209888638014727,0.7871782155692042,5,5,2,1.0
136,8.666666666666666,6.599663291074444,2.7534343861887858,0.980793117590811,7,3,2,2.0
137,36.66666666666666,0.9428090415820634,2.4677201004744993,0.8790196355599472,6,4,0,2.0
138,29.33333333333333,9.285592184789412,2.4677201004744993,0.8790196355599472,6,4,0,2.0
