base_seed,V_mean,V_std,n_doubles,trump_count,umap1,umap2
184,23.33333333333333,2.494438257849294,2,3,8.13999,5.980354
185,6.0,23.15167380558045,1,2,9.941005,4.722548
186,11.333333333333334,19.48218559493661,1,2,9.930912,5.6916623
187,-2.6666666666666665,13.59738536958076,1,0,4.6371913,6.1445165
188,-6.666666666666667,0.9428090415820634,0,0,4.3293943,4.829695
189,34.0,11.31370849898476,2,0,4.988854,4.764973
190,24.0,8.640987597877148,1,2,9.78261,5.486447
191,26.666666666666668,21.684607956387456,3,2,9.627559,7.9917216
192,31.33333333333333,4.988876515698588,2,1,7.095131,4.224329
193,12.0,12.328828005937952,1,2,5.953929,6.8856606
194,9.333333333333334,14.727148022916348,3,0,8.306388,4.000278
195,18.666666666666668,10.49867716534908,2,2,7.046239,3.4229958
196,2.0,12.328828005937952,0,3,10.416785,4.228285
197,1.3333333333333333,30.12566274052001,1,0,7.5029383,6.454451
198,10.0,14.966629547095764,1,0,8.795296,5.1683507
199,42.0,0.0,2,0,8.193678,3.0569391
