path,corpus_family,bytes,size_gib,start_seed,end_seed,seed_count,inferred_decl_policy,inspected,game_count,decision_count,decl_counts_json,sample_counts_json,schema,has_bid_value,bid_values_json,has_oracle_softmax_per_seat,has_legal_mask_per_seat,has_voids_per_seat,blob_keys_json,game_attrs_json,decision_attrs_json,load_seconds
gus/data/corpus_train_chunk_2400-2499.pt,legacy_seed_mod_decl,1112604893,1.0362,2400,2499,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 900, ""4000"": 1100, ""4800"": 400}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.331
gus/data/corpus_train_chunk_2500-2599.pt,legacy_seed_mod_decl,1130524893,1.0529,2500,2599,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""1600"": 100, ""2400"": 200, ""3200"": 700, ""4000"": 1000, ""4800"": 500, ""5600"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.348
gus/data/corpus_train_chunk_2600-2699.pt,legacy_seed_mod_decl,1121564893,1.0445,2600,2699,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 400, ""3200"": 700, ""4000"": 900, ""4800"": 500, ""5600"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.313
gus/data/corpus_train_chunk_2700-2799.pt,legacy_seed_mod_decl,1220124893,1.1363,2700,2799,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 500, ""4000"": 1200, ""4800"": 600, ""5600"": 200}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.345
gus/data/corpus_train_chunk_2800-2899.pt,legacy_seed_mod_decl,1309724893,1.2198,2800,2899,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""3200"": 300, ""4000"": 1100, ""4800"": 800, ""5600"": 400}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.311
gus/data/corpus_train_chunk_2900-2999.pt,legacy_seed_mod_decl,1130524893,1.0529,2900,2999,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 300, ""3200"": 600, ""4000"": 1200, ""4800"": 500}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.282
gus/data/corpus_train_chunk_300-399.pt,legacy_seed_mod_decl,1130502369,1.0529,300,399,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 800, ""4000"": 1100, ""4800"": 500}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.285
gus/data/corpus_train_chunk_3000-3099.pt,legacy_seed_mod_decl,1148444893,1.0696,3000,3099,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 200, ""3200"": 600, ""4000"": 1300, ""4800"": 500}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.317
gus/data/corpus_train_chunk_3100-3199.pt,legacy_seed_mod_decl,1130524893,1.0529,3100,3199,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""1600"": 100, ""2400"": 300, ""3200"": 500, ""4000"": 1100, ""4800"": 500, ""5600"": 100}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.308
gus/data/corpus_train_chunk_3200-3299.pt,legacy_seed_mod_decl,1139484893,1.0612,3200,3299,100,decl_id = seed % 10,True,100,2800,"{""0"": 10, ""1"": 10, ""2"": 10, ""3"": 10, ""4"": 10, ""5"": 10, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 10}","{""800"": 200, ""2400"": 100, ""3200"": 1000, ""4000"": 900, ""4800"": 600}",legacy,False,{},False,False,False,"[""adaptive"", ""adaptive_config"", ""checkpoint"", ""enumerate"", ""posterior"", ""results"", ""seeds""]","[""decisions"", ""decl_id"", ""hands""]","[""action_taken"", ""converged"", ""e_q"", ""e_q_pdf"", ""e_q_var"", ""ess"", ""exploration_mode"", ""greedy_action"", ""legal_mask"", ""max_w"", ""n_samples"", ""player"", ""q_gap"", ""q_per_world"", ""u_max"", ""u_mean"", ""world_hands""]",0.336
