game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9420,0,blanks,0,0,bidder,offense,2,6,3-0,20,5-5,2,3,right_setter,1000,313,0.313,0.28945139050483704,-7.278975486755371,-7.568426877260208,0.27399998903274536,0.415335476398468,0.14133548736572266,0.2720000147819519,0.17571884393692017,-0.09628117084503174,23.67316436767578,22.298582077026367,-1.374582290649414,9.944593459367752,9.463187605142593,0.0
0,9420,0,blanks,0,0,bidder,offense,2,6,3-0,22,6-1,1,2,bidder_partner,1000,338,0.338,0.28945139050483704,-6.693739414215088,-6.983190804719925,0.27399998903274536,0.36390531063079834,0.08990532159805298,0.2720000147819519,0.15976330637931824,-0.11223670840263367,23.67316436767578,21.347055435180664,-2.326108932495117,9.004611104726791,8.443427562713623,0.0
0,9420,0,blanks,0,0,bidder,offense,2,6,3-0,20,5-5,0,1,left_setter,1000,302,0.302,0.28945139050483704,-6.269898891448975,-6.559350281953812,0.27399998903274536,0.40066224336624146,0.1266622543334961,0.2720000147819519,0.1754966825246811,-0.09650333225727081,23.67316436767578,22.393779754638672,-1.2793846130371094,8.79100614786148,8.308489486575127,0.0
0,9420,0,blanks,0,0,bidder,offense,2,6,3-0,10,4-0,1,2,bidder_partner,1000,339,0.339,0.28945139050483704,6.610686302185059,6.321234911680222,0.27399998903274536,0.16519173979759216,-0.1088082492351532,0.2720000147819519,0.34808260202407837,0.07608258724212646,23.67316436767578,22.153030395507812,-1.5201339721679688,8.170143276453018,0.0,7.626102030277252
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,9,3-3,1,2,bidder_partner,1000,316,0.316,0.34595537185668945,12.583115577697754,12.237160205841064,0.2280000001192093,0.07594936341047287,-0.15205063670873642,0.2370000034570694,0.4430379867553711,0.2060379832983017,21.626251220703125,20.790451049804688,-0.8358001708984375,15.818046405911446,0.0,15.057793222367764
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,20,5-5,1,2,bidder_partner,1000,347,0.347,0.34595537185668945,9.586698532104492,9.240743160247803,0.2280000001192093,0.03746397793292999,-0.1905360221862793,0.2370000034570694,0.34293949604034424,0.10593949258327484,21.626251220703125,20.056324005126953,-1.5699272155761719,12.205498307943344,0.0,11.252818197011948
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,21,6-0,1,2,bidder_partner,1000,312,0.312,0.34595537185668945,9.204988479614258,8.859033107757568,0.2280000001192093,0.08653846383094788,-0.1414615362882614,0.2370000034570694,0.35576921701431274,0.11876921355724335,21.626251220703125,21.147401809692383,-0.4788494110107422,11.461340606212616,0.0,10.754032924771309
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,13,4-3,1,2,bidder_partner,1000,322,0.322,0.34595537185668945,-7.551792621612549,-7.897747993469238,0.2280000001192093,0.31366458535194397,0.08566458523273468,0.2370000034570694,0.10869564861059189,-0.1283043548464775,21.626251220703125,17.740530014038086,-3.885721206665039,10.03743739426136,9.395915620028973,0.0
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,24,6-3,1,2,bidder_partner,1000,301,0.301,0.34595537185668945,-6.432021617889404,-6.777976989746094,0.2280000001192093,0.31893688440322876,0.09093688428401947,0.2370000034570694,0.12624584138393402,-0.11075416207313538,21.626251220703125,19.091739654541016,-2.5345115661621094,8.794887453317642,8.241116642951965,0.0
0,9420,0,blanks,0,0,bidder,offense,3,8,3-2,10,4-0,1,2,bidder_partner,1000,339,0.339,0.34595537185668945,7.171408176422119,6.82545280456543,0.2280000001192093,0.14454276859760284,-0.08345723152160645,0.2370000034570694,0.34808260202407837,0.11108259856700897,21.626251220703125,22.10392951965332,0.4776782989501953,8.770851105451584,0.0,8.353564947843552
