game_idx,a_team,n_hands,marks_a,marks_b,a_won
17,1,13,7,6,1
18,1,11,7,4,1
19,1,11,7,4,1
20,1,12,5,7,0
21,1,11,7,4,1
22,1,11,7,4,1
23,1,13,7,6,1
24,1,11,7,4,1
25,1,13,6,7,0
26,1,9,2,7,0
27,1,11,4,7,0
28,1,10,3,7,0
29,1,13,7,6,1
30,1,10,7,3,1
31,1,12,7,5,1
32,1,12,7,5,1
33,1,11,4,7,0
34,1,12,7,5,1
35,1,11,4,7,0
36,1,10,3,7,0
37,1,12,7,5,1
38,1,13,7,6,1
39,1,9,2,7,0
40,1,12,5,7,0
41,1,12,7,5,1
42,1,13,7,6,1
43,1,11,7,4,1
44,1,9,7,2,1
45,1,11,4,7,0
46,1,13,7,6,1
47,1,13,6,7,0
48,1,12,7,5,1
49,1,13,6,7,0
50,1,10,7,3,1
51,1,10,3,7,0
52,1,12,5,7,0
53,1,11,4,7,0
54,1,10,7,3,1
55,1,13,6,7,0
56,1,7,0,7,0
57,1,13,6,7,0
58,1,9,7,2,1
59,1,12,7,5,1
60,1,11,4,7,0
61,1,12,5,7,0
62,1,9,2,7,0
63,1,10,7,3,1
64,1,12,7,5,1
65,1,13,6,7,0
66,1,12,7,5,1
67,1,10,7,3,1
68,1,12,7,5,1
69,1,12,7,5,1
70,1,9,7,2,1
71,1,12,7,5,1
72,1,11,4,7,0
73,1,9,2,7,0
74,1,10,7,3,1
75,1,10,3,7,0
76,1,7,0,7,0
77,1,10,3,7,0
78,1,12,5,7,0
79,1,11,4,7,0
80,1,13,7,6,1
81,1,11,4,7,0
82,1,7,0,7,0
83,1,11,7,4,1
84,1,12,5,7,0
85,1,12,5,7,0
86,1,11,4,7,0
87,1,9,2,7,0
88,1,13,7,6,1
89,1,9,2,7,0
90,1,8,1,7,0
91,1,8,1,7,0
92,1,12,7,5,1
93,1,12,7,5,1
94,1,12,7,5,1
95,1,10,7,3,1
96,1,8,7,1,1
97,1,11,7,4,1
98,1,13,7,6,1
99,1,11,7,4,1
100,1,12,7,5,1
101,1,12,5,7,0
102,1,11,4,7,0
103,1,12,5,7,0
104,1,12,7,5,1
105,1,12,5,7,0
106,1,13,6,7,0
107,1,10,7,3,1
108,1,10,7,3,1
109,1,12,7,5,1
110,1,11,7,4,1
111,1,13,7,6,1
112,1,13,7,6,1
113,1,11,4,7,0
114,1,11,4,7,0
115,1,11,4,7,0
116,1,13,6,7,0
117,1,12,5,7,0
118,1,7,7,0,1
119,1,11,7,4,1
120,1,10,7,3,1
121,1,13,6,7,0
122,1,11,4,7,0
123,1,13,6,7,0
124,1,12,7,5,1
125,1,12,5,7,0
126,1,13,6,7,0
127,1,11,4,7,0
128,1,11,4,7,0
129,1,12,7,5,1
130,1,9,2,7,0
131,1,9,2,7,0
132,1,12,7,5,1
133,1,13,6,7,0
134,1,13,6,7,0
135,1,8,1,7,0
136,1,10,7,3,1
137,1,13,6,7,0
138,1,13,7,6,1
139,1,8,1,7,0
140,1,12,7,5,1
141,1,11,4,7,0
142,1,11,4,7,0
143,1,11,4,7,0
144,1,13,7,6,1
145,1,12,7,5,1
146,1,11,4,7,0
147,1,12,5,7,0
148,1,8,1,7,0
149,1,12,7,5,1
150,1,10,3,7,0
151,1,11,4,7,0
152,1,10,7,3,1
153,1,11,4,7,0
154,1,9,7,2,1
155,1,10,3,7,0
156,1,9,7,2,1
157,1,10,3,7,0
158,1,13,6,7,0
159,1,8,7,1,1
160,1,10,3,7,0
161,1,12,5,7,0
162,1,9,7,2,1
163,1,13,6,7,0
164,1,12,7,5,1
165,1,10,3,7,0
166,1,12,5,7,0
167,1,10,7,3,1
168,1,13,7,6,1
169,1,12,7,5,1
170,1,13,7,6,1
171,1,12,5,7,0
172,1,10,7,3,1
173,1,13,7,6,1
174,1,12,7,5,1
175,1,10,7,3,1
176,1,13,7,6,1
177,1,13,6,7,0
178,1,7,0,7,0
179,1,10,7,3,1
180,1,12,5,7,0
181,1,11,4,7,0
182,1,11,4,7,0
