game_idx,seed,decl_id,decl_name,bid_value,decision_idx,trick_idx,trick_position,actor,seat_role,team,offense_score_before,defense_score_before,actual_action_domino,legal_action_count,top_mean_domino,top_mean,top_threshold_domino,top_threshold_mass,safest_tail_domino,safest_lower_tail_mass,actual_mean_rank_desc,actual_threshold_rank_desc,actual_lower_tail_rank_asc,decision_scalar_ev_lying_by_omission,decision_multi_peak_action_count,decision_max_std,decision_max_shelf_gap,decision_max_hidden_impact,decision_max_hidden_downside,decision_max_hidden_upside,strategy_context_tags,matched_position_detectors,distribution_shape_tags
1,840701,6,sixes,84,26,6,2,2,bidder_partner,offense,40,1,3-1,1,3-1,4.9527506828308105,3-1,0.0,3-1,0.0,1,1,1,False,0,0.0,0,0.0,0.0,0.0,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,
1,840701,6,sixes,84,27,6,3,3,right_setter,defense,40,1,1-0,1,1-0,-6.169463634490967,1-0,1.0,1-0,0.0,1,1,1,False,0,0.0,0,0.0,0.0,0.0,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,
2,840702,6,sixes,84,0,0,0,0,bidder,offense,0,0,6-4,7,6-4,38.711219787597656,6-6,0.0,6-6,0.0,1,3,3,True,7,10.724297523498535,12,4.890052795410156,3.373319625854492,4.890052795410156,bidder_opening_lead|called_suit_pressure|first_trick,bidder_first_lead_plan,multi_peak_pdf|scalar_ev_lying_by_omission
2,840702,6,sixes,84,1,0,1,1,left_setter,defense,0,0,6-0,3,6-0,-1.0903979539871216,6-2,0.9296875,6-2,0.37890625,1,3,3,True,3,29.136268615722656,83,33.85835838317871,25.61815494298935,31.96382713317871,called_suit_pressure|first_setter_response|first_trick,first_setter_pounce_window,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,2,0,2,2,bidder_partner,offense,0,0,5-0,7,5-0,-16.06707763671875,5-1,0.0,3-1,0.5703125,1,2,5,True,7,27.618356704711914,83,25.243016004562378,20.969211220741272,23.52367790043354,first_trick|partner_count_donation|partner_third_seat_support,partner_forcedness_and_safety|partner_third_seat_safe_donation,hidden_threat_large_impact|high_std|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,3,0,3,3,right_setter,defense,0,0,0-0,7,3-0,-31.86542510986328,0-0,0.7265625,3-0,0.8359375,2,1,3,True,7,12.088796615600586,25,10.228217840194702,7.194587230682373,9.213087260723114,defender_last_to_act_closure|first_trick|last_to_act,last_to_act_closure_policy,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,4,1,0,0,bidder,offense,16,0,6-5,6,6-5,29.039321899414062,6-6,0.0,6-6,0.0,1,2,2,True,6,12.829814910888672,28,14.51689338684082,14.51689338684082,9.847816467285156,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,5,1,1,1,left_setter,defense,16,0,6-2,2,6-2,-22.710689544677734,6-2,1.0,6-2,0.71484375,1,1,1,False,2,12.52219009399414,29,7.009530425071716,7.009530425071716,5.642425775527954,called_suit_pressure,first_trick_public_belief_update,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|wide_shelf_gap
2,840702,6,sixes,84,6,1,2,2,bidder_partner,offense,16,0,3-2,6,3-2,8.020313262939453,5-1,0.0,4-1,0.09765625,1,5,2,True,6,19.4221248626709,63,14.804162204265594,14.804162204265594,11.475910663604736,partner_count_donation,first_trick_public_belief_update|partner_forcedness_and_safety,hidden_threat_large_impact|high_std|multi_peak_pdf|scalar_ev_lying_by_omission|wide_shelf_gap
2,840702,6,sixes,84,7,1,3,3,right_setter,defense,16,0,3-0,6,3-0,-21.925718307495117,3-0,1.0,3-0,0.7109375,1,1,1,False,6,14.356927871704102,38,14.739157915115356,7.789336800575256,12.920581459999084,last_to_act,first_trick_public_belief_update|last_to_act_closure_policy,hidden_threat_large_impact|high_variance_close_mean|large_lower_tail|multi_peak_pdf|wide_shelf_gap
