game_idx,seed,decl_id,decl_name,bid_value,bid_value_source,decision_idx,trick_idx,trick_position,actor,seat_role,team,partner_player,offense_score_before,defense_score_before,played_count_points_before,unplayed_count_points_public_before,current_trick_count_before,led_suit_before,led_suit_name_before,current_winner_before,current_winner_team_before,partner_currently_winning_before,opponent_currently_winning_before,actual_action_slot,actual_action_domino_id,actual_action_domino,candidate_slot,candidate_domino_id,candidate_domino,candidate_count_points,candidate_is_double,candidate_is_called_suit,candidate_can_follow_led,candidate_beats_current,candidate_would_win_trick_now,candidate_trick_rank,actor_hand_remaining_count,actor_hand_remaining_count_points,actor_hand_remaining_called_suit_count,actor_hand_remaining_double_count,legal_action_count,threshold_q,mean,std,threshold_mass,lower_tail_mass_le_neg18,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,mean_rank_desc,threshold_rank_desc,lower_tail_rank_asc,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,is_actual_action,is_top_mean_action,is_top_threshold_action,is_safest_lower_tail_action,high_variance_close_mean,scalar_ev_lying_by_omission,distribution_shape_tags,strategy_context_tags,matched_position_detectors,direct_label_readiness,missing_direct_label_fields,hidden_threat_available,hidden_threat_rows,top_hidden_impact_holder,top_hidden_impact_domino,top_hidden_impact_score,top_hidden_downside_holder,top_hidden_downside_domino,top_hidden_downside_score,top_hidden_upside_holder,top_hidden_upside_domino,top_hidden_upside_score
2,840702,6,sixes,84,schema_v2_bid_value,18,4,2,3,right_setter,defense,1,28,1,25,10,0,4,4,1,defense,True,False,1,5,2-2,5,1,1-0,0,False,False,False,False,False,0,3,0,0,1,3,-41.0,-7.318902492523193,13.772170066833496,1.0,0.27734375,-18,-18,-14,-5,19,13,-18.0,3.1977902121938353,5,-18|-8|-4|16|19,37,256,3,3,2,0.07434654235839844,0.0,0.0,False,False,False,False,True,False,high_variance_close_mean|multi_peak_pdf|wide_shelf_gap|large_lower_tail|hidden_threat_large_impact,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,6-3,12.336263656616211,0,6-3,9.748237669467926,1,6-3,10.949544906616211
2,840702,6,sixes,84,schema_v2_bid_value,19,4,3,0,bidder,offense,2,28,1,25,10,0,4,4,1,defense,False,True,3,24,6-3,3,24,6-3,0,False,True,False,True,True,41,3,10,1,2,3,42.0,18.666109085083008,0.04131796583533287,0.0,0.0,19,19,19,19,19,0,19.0,-0.0,1,19,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,,called_suit_pressure|last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,3,3-1,0.021863937377929688,3,3-1,0.021863937377929688,2,2-0,0.019418716430664062
2,840702,6,sixes,84,schema_v2_bid_value,19,4,3,0,bidder,offense,2,28,1,25,10,0,4,4,1,defense,False,True,3,24,6-3,4,20,5-5,10,True,False,False,False,False,0,3,10,1,2,3,42.0,-4.3615546226501465,0.13780005276203156,0.0,0.0,-5,-4,-4,-4,-4,0,-5.0,0.7788275455263486,1,-4,,256,3,2,2,23.027663707733154,0.0,0.0,False,False,False,False,False,False,,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,5-3,0.13982915878295898,1,5-3,0.10692882537841797,2,5-3,0.13982915878295898
2,840702,6,sixes,84,schema_v2_bid_value,19,4,3,0,bidder,offense,2,28,1,25,10,0,4,4,1,defense,False,True,3,24,6-3,5,9,3-3,0,True,False,False,False,False,0,3,10,1,2,3,42.0,16.95583724975586,0.06302499026060104,0.0,0.0,17,17,17,17,17,0,17.0,-0.0,1,17,,256,2,3,3,1.7102718353271484,0.0,0.0,False,False,False,False,False,False,,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,1-0,0.05263519287109375,1,1-0,0.05263519287109375,2,1-0,0.04781150817871094
2,840702,6,sixes,84,schema_v2_bid_value,20,5,0,0,bidder,offense,2,29,1,25,10,0,,,,,False,False,4,20,5-5,4,20,5-5,10,True,False,,,True,,2,10,0,2,2,42.0,17.059391021728516,0.21774733066558838,0.0,0.0,17,17,17,17,17,0,17.0,0.11611507530476972,1,17,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,True,False,high_variance_close_mean,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,1-0,0.131500244140625,2,1-0,0.1193084716796875,1,1-0,0.131500244140625
2,840702,6,sixes,84,schema_v2_bid_value,20,5,0,0,bidder,offense,2,29,1,25,10,0,,,,,False,False,4,20,5-5,5,9,3-3,0,True,False,,,True,,2,10,0,2,2,42.0,17.057689666748047,0.22165395319461823,0.0,0.0,17,17,17,17,17,0,17.0,0.11611507530476972,1,17,,256,2,2,2,0.00170135498046875,0.0,0.0,False,False,False,False,True,False,high_variance_close_mean,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,1-0,0.1313800811767578,2,1-0,0.11740303039550781,1,1-0,0.1313800811767578
2,840702,6,sixes,84,schema_v2_bid_value,21,5,1,1,left_setter,defense,3,29,1,35,0,10,5,5,0,offense,False,True,5,18,5-3,5,18,5-3,0,False,False,True,False,False,24,2,0,0,0,2,-41.0,-11.632036209106445,5.028412342071533,1.0,0.0,-18,-18,-8,-7,-7,11,-18.0,1.9500469089697592,2,-18|-7,11,256,1,1,1,0.0,0.0,0.0,True,True,True,True,True,False,high_variance_close_mean|multi_peak_pdf|hidden_threat_large_impact,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,0,3-3,6.010869979858398,0,3-3,6.010869979858398,0,5-1,4.103743076324463
2,840702,6,sixes,84,schema_v2_bid_value,21,5,1,1,left_setter,defense,3,29,1,35,0,10,5,5,0,offense,False,True,5,18,5-3,6,17,5-2,0,False,False,True,False,False,23,2,0,0,0,2,-41.0,-13.468487739562988,5.107991695404053,1.0,0.0,-18,-18,-17,-8,-6,10,-18.0,2.2178596477224755,3,-18|-8|-6,12,256,2,2,2,1.836451530456543,0.0,0.0,False,False,False,False,False,False,multi_peak_pdf|hidden_threat_large_impact,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,0,5-1,5.8308491706848145,0,3-3,4.136168479919434,0,5-1,5.8308491706848145
2,840702,6,sixes,84,schema_v2_bid_value,22,5,2,2,bidder_partner,offense,0,29,1,35,0,10,5,5,0,offense,True,False,0,16,5-1,0,16,5-1,0,False,False,True,False,False,22,2,0,0,0,1,42.0,16.87546157836914,2.549267530441284,0.0,0.0,18,18,18,18,18,0,9.796875,0.4092962956205902,2,8|18,10,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,multi_peak_pdf,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,0,2-0,2.517606735229492,0,2-0,2.517606735229492,0,1-0,0.8510208129882812
2,840702,6,sixes,84,schema_v2_bid_value,23,5,3,3,right_setter,defense,1,29,1,35,0,10,5,5,0,offense,False,True,5,1,1-0,3,3,2-0,0,False,False,False,False,False,0,2,0,0,0,2,-41.0,-15.822689056396484,3.75494647026062,1.0,0.0,-18,-18,-18,-18,-8,0,-18.0,0.6962122601251458,2,-18|-8,10,256,2,1,1,0.10040092468261719,0.0,0.0,False,False,True,True,True,False,high_variance_close_mean|multi_peak_pdf,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,3-3,3.7376880645751953,0,5-2,1.845458984375,1,3-3,3.7376880645751953
2,840702,6,sixes,84,schema_v2_bid_value,23,5,3,3,right_setter,defense,1,29,1,35,0,10,5,5,0,offense,False,True,5,1,1-0,5,1,1-0,0,False,False,False,False,False,0,2,0,0,0,2,-41.0,-15.722288131713867,3.9604389667510986,1.0,0.0,-18,-18,-18,-18,-7,0,-18.0,0.6962122601251458,2,-18|-7,11,256,1,2,2,0.0,0.0,0.0,True,True,False,False,True,True,scalar_ev_lying_by_omission|high_variance_close_mean|multi_peak_pdf,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,1,3-3,3.9481945037841797,0,5-2,1.9369583129882812,1,3-3,3.9481945037841797
2,840702,6,sixes,84,schema_v2_bid_value,24,6,0,0,bidder,offense,2,40,1,35,0,0,,,,,False,False,5,9,3-3,5,9,3-3,0,True,False,,,True,,1,0,0,1,1,42.0,2.423698663711548,0.8002585768699646,0.0,0.0,1,1,2,2,4,1,1.0,1.481395584674309,2,2|4,2,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,multi_peak_pdf,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,8,2,3-1,1.2651629447937012,1,2-0,1.0405904054641724,2,3-1,1.2651629447937012
2,840702,6,sixes,84,schema_v2_bid_value,25,6,1,1,left_setter,defense,3,40,1,35,0,0,3,3,0,offense,False,True,6,17,5-2,6,17,5-2,0,False,False,False,False,False,0,1,0,0,0,1,-41.0,-6.057275295257568,0.33672934770584106,1.0,0.0,-6,-6,-6,-6,-6,0,-6.000000000000001,-0.0,1,-6,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,4,2,2-0,0.35014963150024414,3,2-0,0.3238239288330078,2,2-0,0.35014963150024414
2,840702,6,sixes,84,schema_v2_bid_value,26,6,2,2,bidder_partner,offense,0,40,1,35,0,0,3,3,0,offense,True,False,6,7,3-1,6,7,3-1,0,False,False,True,False,False,20,1,0,0,0,1,42.0,5.700163841247559,9.5367431640625e-07,0.0,0.0,6,6,6,6,6,0,6.000000000000001,-0.0,1,6,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,,late_hand,first_trick_public_belief_update|late_trick_threshold_closure,distribution_labels_ready|hidden_threat_offline_label_ready|public_context_ready,bid_margin,True,1,3,2-0,0.0,3,2-0,0.0,3,2-0,0.0
2,840702,6,sixes,84,schema_v2_bid_value,27,6,3,3,right_setter,defense,1,40,1,35,0,0,3,3,0,offense,False,True,3,3,2-0,3,3,2-0,0,False,False,False,False,False,0,1,0,0,0,1,-41.0,-6.427841663360596,9.5367431640625e-07,1.0,0.0,-6,-6,-6,-6,-6,0,-6.000000000000001,-0.0,1,-6,,256,1,1,1,0.0,0.0,0.0,True,True,True,True,False,False,,last_to_act|late_hand,first_trick_public_belief_update|last_to_act_closure_policy|late_trick_threshold_closure,distribution_labels_ready|public_context_ready,bid_margin,False,0,,,,,,,,,
