game_id,game_idx,trump_id,trump_name,move_idx,player,active_player,team,global_domino_idx,domino,mean,std,threshold_mass,make_mass,set_mass,lower_tail_mass,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,converged,high_variance_close_mean,scalar_ev_lying_by_omission
sample_001_decl_1,1,1,ones,0,0,0,offense,0,2-0,-17.856117248535156,21.797033909590986,0.07700000703334808,0.07700000354088843,,0.5899999961256981,-41,-37,-24,-4,13,33,-41.709999799728394,5.862738186046626,7,-42|-36|-34|-32|-30|-29|-18,24,1000,,False,False
sample_001_decl_1,1,1,ones,0,0,0,offense,1,3-3,-4.70527458190918,23.501093412893844,0.19600000977516174,0.19600001210346818,,0.32900002505630255,-36,-24,-6,12,31,36,-40.25000027753413,6.258875199182385,6,-41|-31|-18|-15|0|5,46,1000,,False,True
sample_001_decl_1,1,1,ones,0,0,0,offense,2,5-0,-16.94890594482422,24.566750039830893,0.13200001418590546,0.13200000813230872,,0.5869999746792018,-41,-39,-25,-1,25,38,-41.969999730587006,5.829277170479069,2,-42|-35,7,1000,,False,False
sample_001_decl_1,1,1,ones,0,0,0,offense,3,6-0,-17.43609046936035,23.20222799192057,0.10000000149011612,0.10000000591389835,,0.5819999882951379,-41,-38,-24,-2,17,36,-41.88999979197979,5.813540841569702,4,-42|-36|-34|-20,22,1000,,False,False
sample_001_decl_1,1,1,ones,0,0,0,offense,4,6-1,-10.289798736572266,27.16188066446189,0.20200000703334808,0.20200001494958997,,0.4709999905899167,-41,-37,-14,11,33,48,-41.95999978482723,5.96524810795612,2,-42|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,0,0,0,offense,5,6-4,-14.319725036621094,24.39913543670336,0.12999999523162842,0.13000000827014446,,0.5290000075474381,-41,-37,-20,3,24,40,-41.629999935626984,5.961623963763459,5,-41|-37|-31|-12|-6,35,1000,,False,False
sample_001_decl_1,1,1,ones,0,0,0,offense,6,6-5,-15.708198547363281,23.610577091336364,0.11900000274181366,0.11900000646710396,,0.5490000122226775,-41,-37,-21,1,20,38,-41.709999948740005,5.923390568741875,4,-41|-35|-33|-32,9,1000,,False,False
sample_001_decl_1,1,1,ones,1,1,1,defense,9,3-1,-8.279997825622559,27.138510999995468,0.5800000429153442,,0.580000038840808,0.42000000504776835,-42,-35,-9,12,34,47,-42.0,5.856266676902292,2,-42|41,83,1000,,False,False
sample_001_decl_1,1,1,ones,2,2,2,offense,14,1-0,33.033634185791016,12.16374763762373,0.8560000061988831,0.8559999321587384,,0.0020000000949949026,13,27,40,41,41,14,5.229999570408836,4.104267523511176,1,41,,1000,,False,False
sample_001_decl_1,1,1,ones,2,2,2,offense,15,1-1,20.9981632232666,20.781752960313902,0.6069999933242798,0.606999998446554,,0.0470000016503036,-10,5,27,41,41,36,-19.48000041069463,5.248979323822143,3,7|38|41,34,1000,,False,False
sample_001_decl_1,1,1,ones,2,2,2,offense,16,2-1,32.87027359008789,12.310841095216837,0.8519999980926514,0.85200001206249,,0.0020000000949949026,13,26,39,41,41,15,4.739999698475003,4.135878276862656,3,25|36|41,16,1000,,True,False
