game_idx,a_team,n_hands,marks_a,marks_b,a_won
47,1,9,7,2,1
48,1,12,7,5,1
49,1,10,7,3,1
50,1,10,7,3,1
51,1,8,7,1,1
52,1,8,7,1,1
53,1,8,7,1,1
54,1,11,7,4,1
55,1,11,7,4,1
56,1,12,7,5,1
57,1,9,7,2,1
58,1,12,7,5,1
59,1,13,6,7,0
60,1,13,6,7,0
61,1,8,7,1,1
62,1,11,4,7,0
63,1,10,7,3,1
64,1,8,7,1,1
65,1,9,7,2,1
66,1,9,7,2,1
67,1,13,7,6,1
68,1,12,7,5,1
69,1,12,7,5,1
70,1,8,7,1,1
71,1,8,7,1,1
72,1,8,7,1,1
73,1,10,7,3,1
74,1,12,7,5,1
75,1,10,7,3,1
76,1,13,6,7,0
77,1,10,7,3,1
78,1,11,7,4,1
79,1,13,7,6,1
80,1,8,7,1,1
81,1,10,7,3,1
82,1,12,7,5,1
83,1,10,7,3,1
84,1,9,7,2,1
85,1,12,7,5,1
86,1,10,7,3,1
87,1,12,7,5,1
88,1,9,7,2,1
89,1,10,7,3,1
90,1,10,7,3,1
91,1,12,7,5,1
92,1,9,7,2,1
93,1,9,7,2,1
94,1,11,4,7,0
95,1,13,6,7,0
96,1,9,7,2,1
97,1,8,7,1,1
98,1,10,7,3,1
99,1,13,6,7,0
100,1,10,7,3,1
101,1,8,7,1,1
102,1,7,7,0,1
103,1,10,7,3,1
104,1,13,7,6,1
105,1,11,7,4,1
106,1,8,7,1,1
107,1,12,5,7,0
108,1,11,4,7,0
109,1,9,7,2,1
110,1,13,6,7,0
111,1,11,7,4,1
112,1,11,7,4,1
113,1,10,7,3,1
114,1,13,7,6,1
115,1,12,7,5,1
116,1,8,7,1,1
117,1,10,7,3,1
118,1,13,7,6,1
119,1,9,7,2,1
120,1,10,7,3,1
121,1,11,7,4,1
122,1,12,7,5,1
123,1,10,7,3,1
124,1,8,7,1,1
125,1,9,7,2,1
126,1,12,7,5,1
127,1,13,7,6,1
