game_idx,a_team,n_hands,marks_a,marks_b,a_won
240,0,13,6,7,0
241,0,12,7,5,1
242,0,10,7,3,1
243,0,10,7,3,1
244,0,13,7,6,1
245,0,13,6,7,0
246,0,12,5,7,0
247,0,13,6,7,0
248,0,13,6,7,0
249,0,12,5,7,0
250,0,8,7,1,1
251,0,13,6,7,0
252,0,9,2,7,0
253,0,9,7,2,1
254,0,12,5,7,0
255,0,8,7,1,1
0,1,12,5,7,0
1,1,13,6,7,0
2,1,11,4,7,0
3,1,11,7,4,1
4,1,13,7,6,1
5,1,9,2,7,0
6,1,12,5,7,0
7,1,9,7,2,1
8,1,12,7,5,1
9,1,10,7,3,1
10,1,12,7,5,1
11,1,13,7,6,1
12,1,12,5,7,0
13,1,10,3,7,0
14,1,11,7,4,1
15,1,13,6,7,0
16,1,11,7,4,1
17,1,12,7,5,1
18,1,10,7,3,1
19,1,12,7,5,1
20,1,11,4,7,0
21,1,12,5,7,0
22,1,10,7,3,1
23,1,13,6,7,0
24,1,13,7,6,1
25,1,7,0,7,0
26,1,10,3,7,0
27,1,11,4,7,0
28,1,8,1,7,0
29,1,11,4,7,0
30,1,11,4,7,0
31,1,10,3,7,0
32,1,8,7,1,1
33,1,11,4,7,0
34,1,12,7,5,1
35,1,12,7,5,1
36,1,11,7,4,1
37,1,12,7,5,1
38,1,12,5,7,0
39,1,13,6,7,0
40,1,11,4,7,0
41,1,11,7,4,1
42,1,11,7,4,1
43,1,11,4,7,0
44,1,13,6,7,0
45,1,7,7,0,1
46,1,10,7,3,1
47,1,9,7,2,1
48,1,13,7,6,1
49,1,13,6,7,0
50,1,12,5,7,0
51,1,13,6,7,0
52,1,13,7,6,1
53,1,12,7,5,1
54,1,12,5,7,0
55,1,12,5,7,0
56,1,7,7,0,1
57,1,12,7,5,1
58,1,10,7,3,1
59,1,8,1,7,0
60,1,11,7,4,1
61,1,12,5,7,0
62,1,11,4,7,0
63,1,13,7,6,1
64,1,11,4,7,0
65,1,12,5,7,0
66,1,11,7,4,1
67,1,11,7,4,1
68,1,11,4,7,0
69,1,9,2,7,0
70,1,10,7,3,1
71,1,11,4,7,0
72,1,12,5,7,0
73,1,12,5,7,0
74,1,13,7,6,1
75,1,10,3,7,0
76,1,9,2,7,0
77,1,13,6,7,0
78,1,12,5,7,0
79,1,11,7,4,1
80,1,12,5,7,0
81,1,13,7,6,1
82,1,13,6,7,0
83,1,13,7,6,1
84,1,10,7,3,1
85,1,13,7,6,1
86,1,13,6,7,0
87,1,13,6,7,0
88,1,11,7,4,1
89,1,12,5,7,0
90,1,12,5,7,0
91,1,11,4,7,0
92,1,8,7,1,1
93,1,13,7,6,1
94,1,10,7,3,1
95,1,13,6,7,0
96,1,9,7,2,1
97,1,11,7,4,1
98,1,11,7,4,1
99,1,10,7,3,1
100,1,10,7,3,1
101,1,13,6,7,0
102,1,13,6,7,0
103,1,13,6,7,0
104,1,9,7,2,1
105,1,11,7,4,1
