label,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
follower_take_control_from_opponent,5306,3733,11.073717867422284,1.1969677634770708,0.6756888428693121,0.10813512996399387,0.6526573690162081,0.6598190727478327,0.8041839427063702,0.8298153034300791
partner_count_into_defense_control,1213,1090,-15.27974910994336,6.605336234447994,0.06204863975894839,0.4931244844431019,0.3017312448474856,0.31327287716405605,0.46331409727947237,0.45507007419620776
partner_count_timing_early,558,475,15.471071474941775,1.8262812455775597,0.5295878147612924,0.11785842301524295,0.5860215053763441,0.5824372759856631,0.6075268817204301,0.6810035842293907
partner_count_timing_late,88,83,10.378952434286475,1.0234150547872891,0.2935795458033681,0.07448863746090369,0.8181818181818182,0.8295454545454546,0.9431818181818182,0.9772727272727273
partner_count_timing_middle,263,235,13.381840702698712,1.9711599785112157,0.5110646387271781,0.09980988579345407,0.5779467680608364,0.6045627376425855,0.6653992395437263,0.8326996197718631
partner_count_when_bidder_side_controls,909,793,14.373630145263455,1.7904736349857089,0.5013806387818981,0.1084378438974076,0.6061606160616062,0.6127612761276128,0.6567656765676567,0.7535753575357536
partner_support_sequence_context,16929,7000,0.029214679914073,3.1889619976266648,0.2527027585167895,0.2569064917061006,0.413491641561817,0.413491641561817,0.5760529269301199,0.6104908736487684
phase_early,29065,8000,-2.853021026018497,5.328444520502783,0.41823378623159285,0.3440254599318349,0.2752451402029933,0.2752451402029933,0.34120075692413554,0.3660760364699811
phase_late,11179,8000,-0.8550538941618828,0.9629025004492305,0.4666504159397122,0.11311476877816798,0.7156275158779855,0.7156275158779855,0.952768583952053,0.9578674300026836
phase_middle,34835,12000,-1.8479963552160001,3.4389067533230184,0.4674614612570532,0.3006852301562429,0.34448112530500935,0.34448112530500935,0.5394574422276446,0.5538395292091287
role_bidder,23017,7000,-3.006346260028376,4.575385268450273,0.22480623007796469,0.309177781393716,0.304123039492549,0.304123039492549,0.4215145327366729,0.4370682538992918
role_partner,16929,7000,0.029214679914073,3.1889619976266648,0.2527027585167895,0.2569064917061006,0.413491641561817,0.413491641561817,0.5760529269301199,0.6104908736487684
role_setter,35133,14000,-2.509155497316053,3.5901364361483776,0.688933481423889,0.2923879256867021,0.3984857541342897,0.3984857541342897,0.5665898158426551,0.5762673270144878
seat_pos_0,28000,7000,-1.3070828145367288,5.001298581854511,0.4127601784857855,0.2861516068888429,0.25,0.25,0.35396428571428573,0.38189285714285715
seat_pos_1,15586,7000,-5.929189975122406,2.731461593917057,0.4429263440591778,0.33488034112153087,0.4491210060310535,0.4491210060310535,0.601757987937893,0.5964326960092391
seat_pos_2,15900,7000,4.55184558801129,2.8548562303713507,0.5251933963634308,0.19582201241117275,0.44025157232704404,0.44025157232704404,0.620188679245283,0.6650943396226415
seat_pos_3,15593,7000,-6.42726401129391,3.6829801215494564,0.4390021164120983,0.3458423650764583,0.44891938690438016,0.44891938690438016,0.6547168601295453,0.6462515231193484
sequence_follow,31486,14000,-0.6364101538105292,2.793774200142785,0.48447008196293256,0.26465778422339536,0.444642063139173,0.444642063139173,0.611065235342692,0.6311058883313219
sequence_last_to_act,15593,7000,-6.42726401129391,3.6829801215494564,0.4390021164120983,0.3458423650764583,0.44891938690438016,0.44891938690438016,0.6547168601295453,0.6462515231193484
sequence_lead,28000,7000,-1.3070828145367288,5.001298581854511,0.4127601784857855,0.2861516068888429,0.25,0.25,0.35396428571428573,0.38189285714285715
setter_pounce_before_last_seat,478,473,14.135993311739874,0.9501739867817256,0.8920083688143406,0.09956066923948574,0.6589958158995816,0.7071129707112971,0.803347280334728,0.8117154811715481
setter_pounce_count,654,642,16.46634942723014,1.027229739366055,0.9185015296717303,0.0749847093092944,0.6758409785932722,0.72782874617737,0.8470948012232415,0.8562691131498471
setter_pounce_last_seat,176,169,22.795384786345743,1.2365061583166772,0.9904545460912314,0.008238636317070235,0.7215909090909091,0.7840909090909091,0.9659090909090909,0.9772727272727273
setter_pounce_sequence_window,18832,8130,-8.44862641081093,3.6910428118099334,0.5954319774099018,0.38099776954047293,0.43171197960917584,0.43171197960917584,0.5710492778249787,0.5783772302463891
setter_pounce_sets_now,240,238,18.7239215926209,0.6537757327159246,0.9506249999627471,0.041895833141946545,0.7333333333333333,0.8166666666666667,0.9333333333333333,0.9333333333333333
setter_reckless_count_to_bidder,2937,2594,-15.53643730102417,6.96025828548441,0.4697276130905277,0.5034218589246658,0.28770854613551244,0.2774940415389854,0.38202247191011235,0.38678924072182497
