label,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch05_setter_pounce_count_sets_now,10,9,21.513584153959528,0.19282035827636718,0.8990000009536743,0.09799999892711639,0.6,0.9,0.8,0.8
closure_decline_trick,722,357,-8.592736570574756,3.976492519970271,0.4200277009287493,0.37656509695791346,0.4515235457063712,0.45013850415512463,0.6343490304709142,0.6246537396121884
closure_sequence_decision,820,380,-5.911807050458269,3.8014978345142816,0.4517804878763855,0.3400487804194776,0.4634146341463415,0.4634146341463415,0.6487804878048781,0.6475609756097561
closure_slough_count,143,132,-10.073113510658692,6.42082280108145,0.4179370631431262,0.44493006908341304,0.44755244755244755,0.44755244755244755,0.5734265734265734,0.6013986013986014
closure_take_count,20,18,21.21859953403473,2.887506890296936,0.7242500022053718,0.00925000011920929,0.55,0.6,0.8,1.0
closure_take_trick,98,67,13.839530842644828,2.5122512743181113,0.6857142855926436,0.07102040755467451,0.5510204081632653,0.5612244897959183,0.7551020408163265,0.8163265306122449
follower_can_beat_opponent,328,234,9.47497284157761,1.2683525274006548,0.6677591462460596,0.11693597568778276,0.6676829268292683,0.6737804878048781,0.7896341463414634,0.8109756097560976
follower_count_into_opponent_control,264,243,-16.411384729894273,7.989826901641209,0.2721022726918543,0.5253598491703584,0.2840909090909091,0.2840909090909091,0.42803030303030304,0.4318181818181818
follower_opponent_currently_winning,1744,806,-7.878600464232235,3.565138359101534,0.40856938045407826,0.3595326834885882,0.46215596330275227,0.46215596330275227,0.625,0.6186926605504587
follower_partner_or_self_currently_winning,729,334,11.868989872035382,2.3503428097766093,0.6423456798242443,0.1112277089734402,0.45816186556927296,0.45816186556927296,0.6159122085048011,0.691358024691358
follower_safe_count_to_current_control,127,111,15.833360415274703,0.9308364621664243,0.6819685045189745,0.08704724457613595,0.6614173228346457,0.6692913385826772,0.7480314960629921,0.8110236220472441
follower_take_control_from_opponent,328,234,9.47497284157761,1.2683525274006548,0.6677591462460596,0.11693597568778276,0.6676829268292683,0.6737804878048781,0.7896341463414634,0.8109756097560976
partner_count_into_defense_control,67,63,-14.03585680007045,8.835118751917312,0.061940297901407995,0.48917910478897947,0.34328358208955223,0.34328358208955223,0.44776119402985076,0.47761194029850745
partner_count_timing_early,44,33,22.16519692811099,1.5789268233559348,0.6515909108248624,0.07511363760568202,0.5454545454545454,0.5227272727272727,0.6363636363636364,0.7272727272727273
partner_count_timing_late,6,6,11.908716122309366,0.0011030832926432292,0.12833333015441895,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0
partner_count_timing_middle,21,15,18.678709120977494,3.232924007234119,0.5466666668653488,0.03547619017107146,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.7619047619047619
partner_count_when_bidder_side_controls,71,54,20.267237367764324,1.934800040553993,0.5763380290337012,0.057042254200598726,0.5492957746478874,0.5492957746478874,0.6338028169014085,0.7605633802816901
partner_support_sequence_context,886,380,4.194480649803179,3.2466658095515943,0.3144469528887883,0.20642212178436178,0.4288939051918736,0.4288939051918736,0.590293453724605,0.636568848758465
phase_early,1506,440,-2.663317989221104,5.171855976211728,0.4165039838688723,0.34517596274921064,0.2921646746347942,0.2921646746347942,0.3399734395750332,0.3618857901726428
phase_late,601,432,-0.97064896706126,1.0631511647303817,0.4660565721215107,0.13587354398495247,0.718801996672213,0.718801996672213,0.9434276206322796,0.9517470881863561
phase_middle,1893,649,-1.8419071572660692,3.589750873468503,0.45596671986850684,0.2986819862333464,0.34231378763866877,0.3428420496566297,0.520338087691495,0.5451664025356577
role_bidder,1301,381,-2.1183621403643094,4.830198039095291,0.23883166808783893,0.29719830905269834,0.2920830130668716,0.29285165257494233,0.3950807071483474,0.4304381245196003
role_partner,886,380,4.194480649803179,3.2466658095515943,0.3144469528887883,0.20642212178436178,0.4288939051918736,0.4288939051918736,0.590293453724605,0.636568848758465
role_setter,1813,760,-4.9869651852107655,3.3439237713888654,0.6515057914069984,0.3294842800863141,0.41919470490899063,0.41919470490899063,0.5664644236072808,0.5653612796469939
seat_pos_0,1527,381,-1.9602236914002906,4.775485361528143,0.38617223324089484,0.3004518663583869,0.24885396201702684,0.24950884086444008,0.343811394891945,0.3706614276358874
seat_pos_1,835,380,-6.026691904432882,3.0153267939575015,0.4526287417948068,0.33480838302545207,0.4550898203592814,0.4550898203592814,0.5868263473053892,0.5892215568862276
seat_pos_2,818,380,5.858415560721286,2.8068155370953534,0.5286185826974167,0.18301344752507534,0.46454767726161367,0.46454767726161367,0.6320293398533008,0.684596577017115
seat_pos_3,820,380,-5.911807050458269,3.8014978345142816,0.4517804878763855,0.3400487804194776,0.4634146341463415,0.4634146341463415,0.6487804878048781,0.6475609756097561
sequence_follow,1653,760,-0.14525336450783066,2.912143364971877,0.4902329098881733,0.2596914699950176,0.45977011494252873,0.45977011494252873,0.6091954022988506,0.6364186327888687
sequence_last_to_act,820,380,-5.911807050458269,3.8014978345142816,0.4517804878763855,0.3400487804194776,0.4634146341463415,0.4634146341463415,0.6487804878048781,0.6475609756097561
sequence_lead,1527,381,-1.9602236914002906,4.775485361528143,0.38617223324089484,0.3004518663583869,0.24885396201702684,0.24950884086444008,0.343811394891945,0.3706614276358874
setter_pounce_before_last_seat,21,21,12.050482027875702,0.03887056169055757,0.8759523800441197,0.1161904770969635,0.8571428571428571,0.9523809523809523,0.8571428571428571,0.8571428571428571
setter_pounce_count,28,27,15.742826635500283,0.6846131426947457,0.9069642850330898,0.08714285782272262,0.7857142857142857,0.8928571428571429,0.8928571428571429,0.8928571428571429
setter_pounce_last_seat,7,6,26.819860458374023,2.6218408857073103,1.0,0.0,0.5714285714285714,0.7142857142857143,1.0,1.0
setter_pounce_sequence_window,1025,460,-9.909314878023025,3.362467966865203,0.5779658534713998,0.39986341468172104,0.44878048780487806,0.44878048780487806,0.5970731707317073,0.5912195121951219
setter_pounce_sets_now,10,9,21.513584153959528,0.19282035827636718,0.8990000009536743,0.09799999892711639,0.6,0.9,0.8,0.8
setter_reckless_count_to_bidder,148,137,-17.520935961120838,6.671024276638983,0.4377364868461784,0.5419932437078977,0.2702702702702703,0.27702702702702703,0.40540540540540543,0.39864864864864863
