base_contrast_id,contrast_id,slice_name,slice_value,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__count_points=5,count_points,5,113,-6.579838906163432,-8.462603306806795,-4.929913382381368,6.579838906163432,-0.09088495408341421,0.09057522132432302
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__current_winner_team=offense,current_winner_team,offense,160,-8.26225248569681,-10.176241806428878,-6.690839390053226,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=blanks,decl,blanks,27,-11.246136796695215,-16.177833942406707,-7.4068995734331775,11.246136796695215,-0.1825925945131867,0.1874074081165923
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=fives,decl,fives,11,-5.735652988607233,-10.60388807871125,-1.8986554606394352,5.735652988607233,-0.10318182679739865,0.1022727271033959
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=fours,decl,fours,14,-9.261566939530894,-15.815154168722387,-4.368520522641486,9.261566939530894,-0.18607142567634583,0.18928571763847554
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=ones,decl,ones,24,-8.072773069143295,-15.094439012308914,-3.0691906906664372,8.072773069143295,-0.12354166526347399,0.12062500490962218
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=sixes,decl,sixes,31,-7.8670755331554725,-11.976663114094446,-4.671512444089018,7.8670755331554725,-0.08951612616017941,0.09209676964148399
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=threes,decl,threes,23,-6.129413161588752,-8.164609773521837,-4.242289813705115,6.129413161588752,-0.11282608690469162,0.11260869289221971
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__decl=twos,decl,twos,30,-8.23193954229355,-11.167158800487716,-4.775156986316046,8.23193954229355,-0.08849999705950419,0.08366666672130425
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__later_seats_remaining=0,later_seats_remaining,0,68,-9.416154963128706,-12.356994195501594,-6.766902516639847,9.416154963128706,-0.14036764645510735,0.1409558812430238
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__later_seats_remaining=1,later_seats_remaining,1,17,-12.68037644554587,-16.809422659172732,-8.145510969442482,12.68037644554587,-0.17882352541474736,0.16970587762839653
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__later_seats_remaining=2,later_seats_remaining,2,75,-6.2146061419261,-7.950965137027359,-4.790182964861705,6.2146061419261,-0.09433333337306976,0.09620000179857016
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__seat_role=left_setter,seat_role,left_setter,75,-6.447092084089915,-8.450477625072002,-5.274292239904405,6.447092084089915,-0.09659999949236711,0.0979999986787637
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__seat_role=right_setter,seat_role,right_setter,85,-9.863864604761714,-12.293816997165765,-7.214640628301046,9.863864604761714,-0.14605882273000828,0.1451176479787511
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__sets_now_label=false,sets_now_label,false,160,-8.26225248569681,-10.073132648889803,-6.550411039378451,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__team=defense,team,defense,160,-8.26225248569681,-9.858484930284902,-6.652643426838914,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=0,trick_idx,0,33,-13.182582146290576,-16.554709642854604,-8.719064332002944,13.182582146290576,-0.22409090986757568,0.22833333469249986
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=1,trick_idx,1,30,-10.888693593939145,-14.20086071272691,-7.0019518895944,10.888693593939145,-0.15266666660706202,0.1549999979014198
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=2,trick_idx,2,29,-5.707121394317726,-8.902199474298236,-3.156897394641722,5.707121394317726,-0.10534482307989022,0.10120689785429116
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=3,trick_idx,3,28,-8.392478925841194,-12.501727023933615,-4.972557362062591,8.392478925841194,-0.10607142959322248,0.10142857152303415
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=4,trick_idx,4,26,-4.542439575611542,-9.06400348197382,-1.759694850782846,4.542439575611542,-0.06807692141200487,0.07346153689118531
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_idx=5,trick_idx,5,14,-2.976787124361311,-6.043504099334989,-0.6102668106555948,2.976787124361311,0.007857141750199454,-0.0132142858845847
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_position=1,trick_position,1,75,-6.2146061419261,-7.647419240113347,-4.929470857150543,6.2146061419261,-0.09433333337306976,0.09620000179857016
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_position=2,trick_position,2,17,-12.68037644554587,-17.911671376228334,-8.291572920715108,12.68037644554587,-0.17882352541474736,0.16970587762839653
ch05_reckless_count_vs_nonreckless_same_decision,ch05_reckless_count_vs_nonreckless_same_decision__trick_position=3,trick_position,3,68,-9.416154963128706,-12.945457515766954,-6.994379326635425,9.416154963128706,-0.14036764645510735,0.1409558812430238
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__candidate_beats_current=false,candidate_beats_current,false,26,1.2662100723156562,0.03139110310719566,2.332260342286183,-1.2662100723156562,0.020961537957191467,-0.025769230730545063
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__candidate_beats_current=true,candidate_beats_current,true,7,-2.576752713748387,-7.165904058303152,3.8166154627289073,2.576752713748387,-0.07928570679255895,-0.017857143389327184
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__candidate_would_win_now=false,candidate_would_win_now,false,26,1.2662100723156562,-0.0758571408689022,2.6514680461241644,-1.2662100723156562,0.020961537957191467,-0.025769230730545063
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__candidate_would_win_now=true,candidate_would_win_now,true,7,-2.576752713748387,-7.119899589249066,2.7372591848884307,2.576752713748387,-0.07928570679255895,-0.017857143389327184
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__count_points=10,count_points,10,18,0.8585320512453715,-1.5093951314687728,3.0837031972077154,-0.8585320512453715,0.023888891769780055,-0.034444443674551115
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__count_points=5,count_points,5,15,-0.037958935896555586,-1.9256141023834545,2.1385560168822586,0.037958935896555586,-0.02933333416779836,-0.011666667771836121
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__current_winner_team=offense,current_winner_team,offense,33,0.451036147999041,-1.2349151367490943,1.8453324904947557,-0.451036147999041,-0.0003030291109374075,-0.024090909173317028
ch04_safe_partner_count_vs_other_same_decision,ch04_safe_partner_count_vs_other_same_decision__decl=fours,decl,fours,5,4.494977843761444,2.734520435333252,7.4058685302734375,-4.494977843761444,0.021999996900558472,-0.0869999997317791
