claim_label,slice_name,slice_value,action_n,decision_n,mean,mean_regret,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch05_setter_pounce_count,sets_now_label,false,28,28,10.130479898037654,1.626548683270812,0.8725000002554485,0.12196428654715419,0.75,0.6785714285714286,0.8571428571428571,0.8214285714285714
ch05_setter_pounce_count,sets_now_label,true,24,22,17.418729550767846,0.7178652882575989,0.9364583343267441,0.06145833261931936,0.625,0.8333333333333334,0.875,0.9166666666666666
ch05_setter_pounce_count,team,defense,52,50,13.494287430066974,1.2071563471108675,0.9020192313652772,0.09403846165738426,0.6923076923076923,0.75,0.8653846153846154,0.8653846153846154
ch05_setter_pounce_count,trick_idx,0,12,11,16.53623918692271,0.2579208215077718,0.8779166688521703,0.11249999903763334,0.75,0.8333333333333334,1.0,0.9166666666666666
ch05_setter_pounce_count,trick_idx,1,6,6,12.212507486343384,0.4230279127756755,0.8308333257834116,0.16416666905085245,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
ch05_setter_pounce_count,trick_idx,2,9,8,15.014983707004124,0.4429219563802083,0.9377777708901299,0.0600000015563435,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888
ch05_setter_pounce_count,trick_idx,3,8,8,10.344143331050873,0.7923300266265869,0.9075000062584877,0.09125000052154064,0.875,0.75,0.875,0.875
ch05_setter_pounce_count,trick_idx,4,8,8,11.01355924346717,3.4673685431480408,0.9075000062584877,0.08874999778345227,0.375,0.625,0.75,0.875
ch05_setter_pounce_count,trick_idx,5,8,8,12.045136691071093,2.3843783186748624,0.9281250014901161,0.07187500037252903,0.75,0.75,0.875,0.875
ch05_setter_pounce_count,trick_position,1,32,31,8.85359044787765,1.2025929999072105,0.8592187501490116,0.1354687496786937,0.71875,0.6875,0.84375,0.84375
ch05_setter_pounce_count,trick_position,2,9,9,15.941644885473782,0.6595853169759115,0.9366666674613953,0.06055555740992228,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7777777777777778
ch05_setter_pounce_count,trick_position,3,11,10,24.99211346019398,1.668444199995561,0.9981818199157715,0.0009090908887711438,0.6363636363636364,0.8181818181818182,1.0,1.0
ch05_setter_pounce_count_sets_now,candidate_beats_current,true,24,22,17.418729550767846,0.7178652882575989,0.9364583343267441,0.06145833261931936,0.625,0.8333333333333334,0.875,0.9166666666666666
ch05_setter_pounce_count_sets_now,candidate_would_win_now,true,24,22,17.418729550767846,0.7178652882575989,0.9364583343267441,0.06145833261931936,0.625,0.8333333333333334,0.875,0.9166666666666666
